cooldown_blocked,event,final_decision_allow_true_false,final_reason,inst_id,price,recent_stopout_present,recent_trade_penalty,recovery_blocked,side,timeframe,ts
False,reentry_check,True,ok,JUP-USDT-SWAP,0.1691,False,,False,long,5m,2026-03-16 16:13:31
False,reentry_check,True,ok,JUP-USDT-SWAP,0.1691,False,,False,short,5m,2026-03-16 16:13:31
False,reentry_check,True,ok,KSM-USDT-SWAP,4.762,False,,False,long,5m,2026-03-16 16:13:31
False,reentry_check,True,ok,KSM-USDT-SWAP,4.762,False,,False,short,5m,2026-03-16 16:13:31
False,reentry_check,True,ok,LDO-USDT-SWAP,0.3214,False,,False,long,5m,2026-03-16 16:13:32
False,reentry_check,True,ok,LDO-USDT-SWAP,0.3214,False,,False,short,5m,2026-03-16 16:13:32
,reentry_check,True,scan,LDO-USDT-SWAP,0.3214,False,0.0,,scan,5m,2026-03-16 16:13:32
False,reentry_check,True,ok,LINEA-USDT-SWAP,0.003487,False,,False,long,5m,2026-03-16 16:13:33
False,reentry_check,True,ok,LINEA-USDT-SWAP,0.003487,False,,False,short,5m,2026-03-16 16:13:33
False,reentry_check,True,ok,LINK-USDT-SWAP,10.225,False,,False,long,5m,2026-03-16 16:13:33
False,reentry_check,True,ok,LINK-USDT-SWAP,10.225,False,,False,short,5m,2026-03-16 16:13:33
False,reentry_check,True,ok,LIT-USDT-SWAP,1.088,False,,False,long,5m,2026-03-16 16:13:33
False,reentry_check,True,ok,LIT-USDT-SWAP,1.088,False,,False,short,5m,2026-03-16 16:13:33
False,reentry_check,True,ok,LPT-USDT-SWAP,2.276,False,,False,long,5m,2026-03-16 16:13:33
False,reentry_check,True,ok,LPT-USDT-SWAP,2.276,False,,False,short,5m,2026-03-16 16:13:33
False,reentry_check,True,ok,LRC-USDT-SWAP,0.02943,False,,False,long,5m,2026-03-16 16:13:34
False,reentry_check,True,ok,LRC-USDT-SWAP,0.02943,False,,False,short,5m,2026-03-16 16:13:34
False,reentry_check,True,ok,LTC-USDT-SWAP,57.59,False,,False,long,5m,2026-03-16 16:13:34
False,reentry_check,True,ok,LTC-USDT-SWAP,57.59,False,,False,short,5m,2026-03-16 16:13:34
False,reentry_check,True,ok,MAGIC-USDT-SWAP,0.0845,False,,False,long,5m,2026-03-16 16:13:35
False,reentry_check,True,ok,MAGIC-USDT-SWAP,0.0845,False,,False,short,5m,2026-03-16 16:13:35
,reentry_check,True,scan,MAGIC-USDT-SWAP,0.0845,False,0.0,,scan,5m,2026-03-16 16:13:35
False,reentry_check,True,ok,MAJOR-USDT-SWAP,0.0635,False,,False,long,5m,2026-03-16 16:13:35
False,reentry_check,True,ok,MAJOR-USDT-SWAP,0.0635,False,,False,short,5m,2026-03-16 16:13:35
False,reentry_check,True,ok,MASK-USDT-SWAP,0.6124,False,,False,long,5m,2026-03-16 16:13:36
