block_reason,cooldown_blocked,inst_id,last_exit_reason,last_trade_pnl,price,recovery_blocked,side,ts
cooldown после ATR-стопа ещё активен 1143s; цена отошла только на 0.00 ATR,True,ENA-USDT-SWAP,ATR стоп 2.0N,0.0,0.0974,True,short,2026-03-22 20:20:25
cooldown после ATR-стопа ещё активен 1742s; цена отошла только на 0.09 ATR,True,AUCTION-USDT-SWAP,ATR стоп 2.0N,0.0,4.665,True,short,2026-03-23 01:20:07
cooldown после ATR-стопа ещё активен 1712s; цена отошла только на 0.09 ATR,True,AUCTION-USDT-SWAP,ATR стоп 2.0N,0.0,4.665,True,short,2026-03-23 01:20:37
cooldown после ATR-стопа ещё активен 1685s; цена отошла только на 0.09 ATR,True,AUCTION-USDT-SWAP,ATR стоп 2.0N,0.0,4.665,True,short,2026-03-23 01:21:03
cooldown после ATR-стопа ещё активен 1663s; цена отошла только на 0.09 ATR,True,AUCTION-USDT-SWAP,ATR стоп 2.0N,0.0,4.665,True,short,2026-03-23 01:21:25
cooldown после ATR-стопа ещё активен 1632s; цена отошла только на 0.09 ATR,True,AUCTION-USDT-SWAP,ATR стоп 2.0N,0.0,4.665,True,short,2026-03-23 01:21:56
cooldown после ATR-стопа ещё активен 1609s; цена отошла только на 0.09 ATR,True,AUCTION-USDT-SWAP,ATR стоп 2.0N,0.0,4.665,True,short,2026-03-23 01:22:20
cooldown после ATR-стопа ещё активен 1586s; цена отошла только на 0.09 ATR,True,AUCTION-USDT-SWAP,ATR стоп 2.0N,0.0,4.665,True,short,2026-03-23 01:22:42
cooldown после ATR-стопа ещё активен 1555s; цена отошла только на 0.09 ATR,True,AUCTION-USDT-SWAP,ATR стоп 2.0N,0.0,4.665,True,short,2026-03-23 01:23:14
cooldown после ATR-стопа ещё активен 1530s; цена отошла только на 0.09 ATR,True,AUCTION-USDT-SWAP,ATR стоп 2.0N,0.0,4.665,True,short,2026-03-23 01:23:38
cooldown после ATR-стопа ещё активен 1508s; цена отошла только на 0.09 ATR,True,AUCTION-USDT-SWAP,ATR стоп 2.0N,0.0,4.665,True,short,2026-03-23 01:24:00
cooldown после ATR-стопа ещё активен 1481s; цена отошла только на 0.09 ATR,True,AUCTION-USDT-SWAP,ATR стоп 2.0N,0.0,4.665,True,short,2026-03-23 01:24:27
cooldown после ATR-стопа ещё активен 1454s; цена отошла только на 0.09 ATR,True,AUCTION-USDT-SWAP,ATR стоп 2.0N,0.0,4.665,True,short,2026-03-23 01:24:54
cooldown после ATR-стопа ещё активен 1741s; цена отошла только на 0.00 ATR,True,IOTA-USDT-SWAP,ATR стоп 2.0N,0.0,0.05729,True,long,2026-03-23 01:40:40
cooldown после ATR-стопа ещё активен 1704s; цена отошла только на 0.00 ATR,True,IOTA-USDT-SWAP,ATR стоп 2.0N,0.0,0.05729,True,long,2026-03-23 01:41:17
cooldown после ATR-стопа ещё активен 1674s; цена отошла только на 0.00 ATR,True,IOTA-USDT-SWAP,ATR стоп 2.0N,0.0,0.05729,True,long,2026-03-23 01:41:47
cooldown после ATR-стопа ещё активен 1653s; цена отошла только на 0.00 ATR,True,IOTA-USDT-SWAP,ATR стоп 2.0N,0.0,0.05729,True,long,2026-03-23 01:42:09
cooldown после ATR-стопа ещё активен 1628s; цена отошла только на 0.00 ATR,True,IOTA-USDT-SWAP,ATR стоп 2.0N,0.0,0.05729,True,long,2026-03-23 01:42:33
cooldown после ATR-стопа ещё активен 1601s; цена отошла только на 0.00 ATR,True,IOTA-USDT-SWAP,ATR стоп 2.0N,0.0,0.05729,True,long,2026-03-23 01:43:00
cooldown после ATR-стопа ещё активен 1579s; цена отошла только на 0.00 ATR,True,IOTA-USDT-SWAP,ATR стоп 2.0N,0.0,0.05729,True,long,2026-03-23 01:43:22
cooldown после ATR-стопа ещё активен 1555s; цена отошла только на 0.00 ATR,True,IOTA-USDT-SWAP,ATR стоп 2.0N,0.0,0.05729,True,long,2026-03-23 01:43:47
cooldown после ATR-стопа ещё активен 1527s; цена отошла только на 0.00 ATR,True,IOTA-USDT-SWAP,ATR стоп 2.0N,0.0,0.05729,True,long,2026-03-23 01:44:15
cooldown после ATR-стопа ещё активен 1512s; цена отошла только на 0.00 ATR,True,IOTA-USDT-SWAP,ATR стоп 2.0N,0.0,0.05729,True,long,2026-03-23 01:44:29
cooldown после ATR-стопа ещё активен 1499s; цена отошла только на 0.00 ATR,True,IOTA-USDT-SWAP,ATR стоп 2.0N,0.0,0.05729,True,long,2026-03-23 01:44:42
cooldown после ATR-стопа ещё активен 1476s; цена отошла только на 0.16 ATR,True,IOTA-USDT-SWAP,ATR стоп 2.0N,0.0,0.05727,True,long,2026-03-23 01:45:05
cooldown после ATR-стопа ещё активен 196s; цена отошла только на 0.56 ATR,True,AUCTION-USDT-SWAP,ATR стоп 2.0N,0.0,4.67,True,short,2026-03-23 01:45:52
cooldown после ATR-стопа ещё активен 1424s; цена отошла только на 0.16 ATR,True,IOTA-USDT-SWAP,ATR стоп 2.0N,0.0,0.05727,True,long,2026-03-23 01:45:57
cooldown после ATR-стопа ещё активен 174s; цена отошла только на 0.56 ATR,True,AUCTION-USDT-SWAP,ATR стоп 2.0N,0.0,4.67,True,short,2026-03-23 01:46:14
cooldown после ATR-стопа ещё активен 1402s; цена отошла только на 0.16 ATR,True,IOTA-USDT-SWAP,ATR стоп 2.0N,0.0,0.05727,True,long,2026-03-23 01:46:19
cooldown после ATR-стопа ещё активен 149s; цена отошла только на 0.56 ATR,True,AUCTION-USDT-SWAP,ATR стоп 2.0N,0.0,4.67,True,short,2026-03-23 01:46:40
cooldown после ATR-стопа ещё активен 1377s; цена отошла только на 0.16 ATR,True,IOTA-USDT-SWAP,ATR стоп 2.0N,0.0,0.05727,True,long,2026-03-23 01:46:45
cooldown после ATR-стопа ещё активен 127s; цена отошла только на 0.56 ATR,True,AUCTION-USDT-SWAP,ATR стоп 2.0N,0.0,4.67,True,short,2026-03-23 01:47:02
cooldown после ATR-стопа ещё активен 1355s; цена отошла только на 0.16 ATR,True,IOTA-USDT-SWAP,ATR стоп 2.0N,0.0,0.05727,True,long,2026-03-23 01:47:06
cooldown после ATR-стопа ещё активен 105s; цена отошла только на 0.56 ATR,True,AUCTION-USDT-SWAP,ATR стоп 2.0N,0.0,4.67,True,short,2026-03-23 01:47:24
cooldown после ATR-стопа ещё активен 1333s; цена отошла только на 0.16 ATR,True,IOTA-USDT-SWAP,ATR стоп 2.0N,0.0,0.05727,True,long,2026-03-23 01:47:28
cooldown после ATR-стопа ещё активен 80s; цена отошла только на 0.56 ATR,True,AUCTION-USDT-SWAP,ATR стоп 2.0N,0.0,4.67,True,short,2026-03-23 01:47:49
cooldown после ATR-стопа ещё активен 1307s; цена отошла только на 0.16 ATR,True,IOTA-USDT-SWAP,ATR стоп 2.0N,0.0,0.05727,True,long,2026-03-23 01:47:54
cooldown после ATR-стопа ещё активен 57s; цена отошла только на 0.56 ATR,True,AUCTION-USDT-SWAP,ATR стоп 2.0N,0.0,4.67,True,short,2026-03-23 01:48:12
cooldown после ATR-стопа ещё активен 1285s; цена отошла только на 0.16 ATR,True,IOTA-USDT-SWAP,ATR стоп 2.0N,0.0,0.05727,True,long,2026-03-23 01:48:17
cooldown после ATR-стопа ещё активен 34s; цена отошла только на 0.56 ATR,True,AUCTION-USDT-SWAP,ATR стоп 2.0N,0.0,4.67,True,short,2026-03-23 01:48:35
cooldown после ATR-стопа ещё активен 1262s; цена отошла только на 0.16 ATR,True,IOTA-USDT-SWAP,ATR стоп 2.0N,0.0,0.05727,True,long,2026-03-23 01:48:39
cooldown после ATR-стопа ещё активен 9s; цена отошла только на 0.56 ATR,True,AUCTION-USDT-SWAP,ATR стоп 2.0N,0.0,4.67,True,short,2026-03-23 01:48:59
cooldown после ATR-стопа ещё активен 1237s; цена отошла только на 0.16 ATR,True,IOTA-USDT-SWAP,ATR стоп 2.0N,0.0,0.05727,True,long,2026-03-23 01:49:04
cooldown после ATR-стопа ещё активен 1215s; цена отошла только на 0.16 ATR,True,IOTA-USDT-SWAP,ATR стоп 2.0N,0.0,0.05727,True,long,2026-03-23 01:49:27
cooldown после ATR-стопа ещё активен 1194s; цена отошла только на 0.16 ATR,True,IOTA-USDT-SWAP,ATR стоп 2.0N,0.0,0.05727,True,long,2026-03-23 01:49:48
cooldown после ATR-стопа ещё активен 1168s; цена отошла только на 0.08 ATR,True,IOTA-USDT-SWAP,ATR стоп 2.0N,0.0,0.05728,True,long,2026-03-23 01:50:13
