cooldown_blocked,cooldown_expired,cooldown_required_seconds,event,final_decision_allow_true_false,final_reason,inst_id,last_exit_reason,last_trade_pnl,price,recent_stopout_present,recent_trade_penalty,recovery_atr_actual,recovery_atr_required,recovery_blocked,seconds_since_last_close,side,timeframe,ts
False,,,reentry_check,True,ok,ARB-USDT-SWAP,,,0.0938,False,,,,False,,long,5m,2026-03-27 07:11:47
False,,,reentry_check,True,ok,ARB-USDT-SWAP,,,0.0938,False,,,,False,,short,5m,2026-03-27 07:11:47
False,,,reentry_check,True,ok,ASTER-USDT-SWAP,,,0.6693,False,,,,False,,long,5m,2026-03-27 07:11:47
False,,,reentry_check,True,ok,ASTER-USDT-SWAP,,,0.6693,False,,,,False,,short,5m,2026-03-27 07:11:47
,,,reentry_check,True,scan,ASTER-USDT-SWAP,,,0.6693,False,0.0,,,,,scan,5m,2026-03-27 07:11:48
False,,,reentry_check,True,ok,BAND-USDT-SWAP,,,0.2109,False,,,,False,,long,5m,2026-03-27 07:11:48
False,,,reentry_check,True,ok,BAND-USDT-SWAP,,,0.2109,False,,,,False,,short,5m,2026-03-27 07:11:48
,,,reentry_check,True,scan,BAND-USDT-SWAP,,,0.2109,False,0.0,,,,,scan,5m,2026-03-27 07:11:48
False,,,reentry_check,True,ok,BCH-USDT-SWAP,,,461.9,False,,,,False,,long,5m,2026-03-27 07:11:49
False,,,reentry_check,True,ok,BCH-USDT-SWAP,,,461.9,False,,,,False,,short,5m,2026-03-27 07:11:49
False,,,reentry_check,True,ok,BTC-USDT-SWAP,,,68301.9,False,,,,False,,long,5m,2026-03-27 07:11:55
False,,,reentry_check,True,ok,BTC-USDT-SWAP,,,68301.9,False,,,,False,,short,5m,2026-03-27 07:11:55
False,,,reentry_check,True,ok,CHZ-USDT-SWAP,,,0.03512,False,,,,False,,long,5m,2026-03-27 07:12:03
False,,,reentry_check,True,ok,CHZ-USDT-SWAP,,,0.03512,False,,,,False,,short,5m,2026-03-27 07:12:03
False,,,reentry_check,True,ok,COMP-USDT-SWAP,,,18.65,False,,,,False,,long,5m,2026-03-27 07:12:06
False,,,reentry_check,True,ok,COMP-USDT-SWAP,,,18.65,False,,,,False,,short,5m,2026-03-27 07:12:06
,,,reentry_check,True,scan,COMP-USDT-SWAP,,,18.65,False,0.0,,,,,scan,5m,2026-03-27 07:12:06
False,,,reentry_check,True,ok,FIL-USDT-SWAP,,,0.867,False,,,,False,,long,5m,2026-03-27 07:12:17
False,,,reentry_check,True,ok,FIL-USDT-SWAP,,,0.867,False,,,,False,,short,5m,2026-03-27 07:12:17
