cooldown_blocked,cooldown_required_seconds,event,final_decision_allow_true_false,final_reason,inst_id,last_exit_reason,last_trade_pnl,price,recent_stopout_present,recent_trade_penalty,recovery_atr_actual,recovery_atr_required,recovery_blocked,seconds_since_last_close,side,timeframe,ts
False,,reentry_check,True,ok,SYRUP-USDT-SWAP,,,0.2641,False,,,,False,,long,5m,2026-03-16 17:31:01
False,,reentry_check,True,ok,SYRUP-USDT-SWAP,,,0.2641,False,,,,False,,short,5m,2026-03-16 17:31:01
False,,reentry_check,True,ok,THETA-USDT-SWAP,,,0.1782,False,,,,False,,long,5m,2026-03-16 17:31:03
False,,reentry_check,True,ok,THETA-USDT-SWAP,,,0.1782,False,,,,False,,short,5m,2026-03-16 17:31:03
False,,reentry_check,True,ok,TRX-USDT-SWAP,,,0.2979,False,,,,False,,long,5m,2026-03-16 17:31:03
False,,reentry_check,True,ok,TRX-USDT-SWAP,,,0.2979,False,,,,False,,short,5m,2026-03-16 17:31:03
False,,reentry_check,True,ok,TSLA-USDT-SWAP,,,485.73,False,,,,False,,long,5m,2026-03-16 17:31:03
False,,reentry_check,True,ok,TSLA-USDT-SWAP,,,485.73,False,,,,False,,short,5m,2026-03-16 17:31:03
False,,reentry_check,True,ok,XAG-USDT-SWAP,,,80.9,False,,,,False,,long,5m,2026-03-16 17:31:04
False,,reentry_check,True,ok,XAG-USDT-SWAP,,,80.9,False,,,,False,,short,5m,2026-03-16 17:31:04
False,,reentry_check,True,ok,XLM-USDT-SWAP,,,0.1717,False,,,,False,,long,5m,2026-03-16 17:31:04
False,,reentry_check,True,ok,XLM-USDT-SWAP,,,0.1717,False,,,,False,,short,5m,2026-03-16 17:31:04
False,,reentry_check,True,ok,XPL-USDT-SWAP,,,0.1482,False,,,,False,,long,5m,2026-03-16 17:31:04
False,,reentry_check,True,ok,XPL-USDT-SWAP,,,0.1482,False,,,,False,,short,5m,2026-03-16 17:31:04
True,1756,reentry_check,False,cooldown после ATR-стопа ещё активен 1756s; цена отошла только на 0.00 ATR,XRP-USDT-SWAP,ATR стоп 2.0N,0.0,1.4456,True,1.6,0.0,1.1,True,0,long,5m,2026-03-16 17:31:05
False,1756,reentry_check,True,ok,XRP-USDT-SWAP,ATR стоп 2.0N,0.0,1.4456,True,1.6,0.0,1.1,False,0,short,5m,2026-03-16 17:31:05
False,,reentry_check,True,ok,YB-USDT-SWAP,,,0.1549,False,,,,False,,long,5m,2026-03-16 17:31:05
False,,reentry_check,True,ok,YB-USDT-SWAP,,,0.1549,False,,,,False,,short,5m,2026-03-16 17:31:05
