details,event_type,inst_id,reason_code,timestamp
"{""ts"": ""2026-03-15 15:53:43"", ""event"": ""filter_diagnostics"", ""scan_universe_total"": 115, ""blacklist_count"": 18, ""blocked_count"": 17, ""temp_blocked_count"": 0, ""illiquid_count"": 0, ""stopout_cooldown_count"": 9, ""hard_blocked_unique_count"": 27, ""execution_watchlist_count"": 0, ""open_positions_count"": 3, ""available_after_bans_count"": 88, ""trade_ready_count"": 85, ""signal_funnel"": {""cycle_id"": 163, ""instruments_scanned"": 94, ""prefilter_skipped"": 21, ""warmup_rejected"": 17, ""flat_filter_rejected"": 0, ""structure_rejected"": 0, ""trend_rejected"": 0, ""liquidity_rejected"": 0, ""breakout_rejected"": 79, ""other_rejected"": 2, ""candidates"": 0, ""ranked_candidates"": 0, ""orders_sent"": 0, ""entry_failed"": 0, ""manual_skipped"": 0, ""opened"": 0}}",filter_diagnostics,,,2026-03-15 15:53:43
,filter_diagnostics,,unknown,2026-03-15 16:09:01
"{""ts"": ""2026-03-15 16:09:01"", ""event"": ""filter_diagnostics"", ""scan_universe_total"": 115, ""blacklist_count"": 19, ""blocked_count"": 18, ""temp_blocked_count"": 0, ""illiquid_count"": 0, ""stopout_cooldown_count"": 9, ""hard_blocked_unique_count"": 28, ""execution_watchlist_count"": 0, ""open_positions_count"": 8, ""available_after_bans_count"": 87, ""trade_ready_count"": 80, ""signal_funnel"": {""cycle_id"": 178, ""instruments_scanned"": 89, ""prefilter_skipped"": 26, ""warmup_rejected"": 18, ""flat_filter_rejected"": 0, ""structure_rejected"": 0, ""trend_rejected"": 0, ""liquidity_rejected"": 0, ""breakout_rejected"": 70, ""other_rejected"": 2, ""candidates"": 1, ""ranked_candidates"": 1, ""orders_sent"": 0, ""entry_failed"": 1, ""manual_skipped"": 0, ""opened"": 0}}",filter_diagnostics,,,2026-03-15 16:09:01
,rotation_started,,unknown,2026-03-15 16:14:29
,rotation_completed,,unknown,2026-03-15 16:14:49
,rotation_started,,unknown,2026-03-15 16:16:40
,rotation_completed,,unknown,2026-03-15 16:17:01
,rotation_started,,unknown,2026-03-15 16:17:23
,rotation_completed,,unknown,2026-03-15 16:17:43
,rotation_started,,unknown,2026-03-15 16:18:04
,rotation_completed,,unknown,2026-03-15 16:18:24
,rotation_started,,unknown,2026-03-15 16:18:45
,rotation_completed,,unknown,2026-03-15 16:19:05
,rotation_started,,unknown,2026-03-15 16:19:26
,rotation_completed,,unknown,2026-03-15 16:19:47
,rotation_started,,unknown,2026-03-15 16:22:12
,rotation_completed,,unknown,2026-03-15 16:22:33
,filter_diagnostics,,unknown,2026-03-15 16:24:09
"{""ts"": ""2026-03-15 16:24:09"", ""event"": ""filter_diagnostics"", ""scan_universe_total"": 115, ""blacklist_count"": 21, ""blocked_count"": 20, ""temp_blocked_count"": 0, ""illiquid_count"": 0, ""stopout_cooldown_count"": 5, ""hard_blocked_unique_count"": 26, ""execution_watchlist_count"": 0, ""open_positions_count"": 14, ""available_after_bans_count"": 89, ""trade_ready_count"": 77, ""signal_funnel"": {""cycle_id"": 184, ""instruments_scanned"": 0, ""prefilter_skipped"": 0, ""warmup_rejected"": 0, ""flat_filter_rejected"": 0, ""structure_rejected"": 0, ""trend_rejected"": 0, ""liquidity_rejected"": 0, ""breakout_rejected"": 0, ""other_rejected"": 0, ""candidates"": 0, ""ranked_candidates"": 0, ""orders_sent"": 0, ""entry_failed"": 0, ""manual_skipped"": 0, ""opened"": 0}}",filter_diagnostics,,,2026-03-15 16:24:09
