cooldown_blocked,cooldown_required_seconds,event,final_decision_allow_true_false,final_reason,inst_id,last_exit_reason,last_trade_pnl,price,recent_stopout_present,recent_trade_penalty,recovery_atr_actual,recovery_atr_required,recovery_blocked,seconds_since_last_close,side,timeframe,ts
False,,reentry_check,True,ok,IOTA-USDT-SWAP,,,0.06254,False,,,,False,,long,5m,2026-03-19 14:03:57
False,,reentry_check,True,ok,IOTA-USDT-SWAP,,,0.06254,False,,,,False,,short,5m,2026-03-19 14:03:57
False,,reentry_check,True,ok,JUP-USDT-SWAP,,,0.1618,False,,,,False,,long,5m,2026-03-19 14:03:58
False,,reentry_check,True,ok,JUP-USDT-SWAP,,,0.1618,False,,,,False,,short,5m,2026-03-19 14:03:58
False,,reentry_check,True,ok,KSM-USDT-SWAP,,,4.532,False,,,,False,,long,5m,2026-03-19 14:03:58
False,,reentry_check,True,ok,KSM-USDT-SWAP,,,4.532,False,,,,False,,short,5m,2026-03-19 14:03:58
False,,reentry_check,True,ok,LDO-USDT-SWAP,,,0.3001,False,,,,False,,long,5m,2026-03-19 14:03:58
False,,reentry_check,True,ok,LDO-USDT-SWAP,,,0.3001,False,,,,False,,short,5m,2026-03-19 14:03:58
False,,reentry_check,True,ok,LINEA-USDT-SWAP,,,0.003257,False,,,,False,,long,5m,2026-03-19 14:03:59
False,,reentry_check,True,ok,LINEA-USDT-SWAP,,,0.003257,False,,,,False,,short,5m,2026-03-19 14:03:59
False,,reentry_check,True,ok,LINK-USDT-SWAP,,,9.127,False,,,,False,,long,5m,2026-03-19 14:03:59
False,,reentry_check,True,ok,LINK-USDT-SWAP,,,9.127,False,,,,False,,short,5m,2026-03-19 14:03:59
False,,reentry_check,True,ok,LIT-USDT-SWAP,,,1.12,False,,,,False,,long,5m,2026-03-19 14:03:59
False,,reentry_check,True,ok,LIT-USDT-SWAP,,,1.12,False,,,,False,,short,5m,2026-03-19 14:03:59
,,reentry_check,True,scan,LIT-USDT-SWAP,,,1.12,False,0.0,,,,,scan,5m,2026-03-19 14:04:00
False,,reentry_check,True,ok,LPT-USDT-SWAP,,,2.228,False,,,,False,,long,5m,2026-03-19 14:04:00
False,,reentry_check,True,ok,LPT-USDT-SWAP,,,2.228,False,,,,False,,short,5m,2026-03-19 14:04:00
False,,reentry_check,True,ok,LTC-USDT-SWAP,,,55.38,False,,,,False,,long,5m,2026-03-19 14:04:00
False,,reentry_check,True,ok,LTC-USDT-SWAP,,,55.38,False,,,,False,,short,5m,2026-03-19 14:04:00
False,,reentry_check,True,ok,MAGIC-USDT-SWAP,,,0.07834,False,,,,False,,long,5m,2026-03-19 14:04:00
False,,reentry_check,True,ok,MAGIC-USDT-SWAP,,,0.07834,False,,,,False,,short,5m,2026-03-19 14:04:00
False,,reentry_check,True,ok,MASK-USDT-SWAP,,,0.4499,False,,,,False,,long,5m,2026-03-19 14:04:01
False,,reentry_check,True,ok,MASK-USDT-SWAP,,,0.4499,False,,,,False,,short,5m,2026-03-19 14:04:01
False,,reentry_check,True,ok,MET-USDT-SWAP,,,0.1528,False,,,,False,,long,5m,2026-03-19 14:04:01
False,,reentry_check,True,ok,MET-USDT-SWAP,,,0.1528,False,,,,False,,short,5m,2026-03-19 14:04:01
False,,reentry_check,True,ok,NEAR-USDT-SWAP,,,1.3544,False,,,,False,,long,5m,2026-03-19 14:04:01
False,,reentry_check,True,ok,NEAR-USDT-SWAP,,,1.3544,False,,,,False,,short,5m,2026-03-19 14:04:01
False,,reentry_check,True,ok,NEO-USDT-SWAP,,,2.752,False,,,,False,,long,5m,2026-03-19 14:04:01
False,,reentry_check,True,ok,NEO-USDT-SWAP,,,2.752,False,,,,False,,short,5m,2026-03-19 14:04:01
False,,reentry_check,True,ok,NOT-USDT-SWAP,,,0.0003864,False,,,,False,,long,5m,2026-03-19 14:04:02
False,,reentry_check,True,ok,NOT-USDT-SWAP,,,0.0003864,False,,,,False,,short,5m,2026-03-19 14:04:02
False,,reentry_check,True,ok,OP-USDT-SWAP,,,0.1217,False,,,,False,,long,5m,2026-03-19 14:04:02
False,,reentry_check,True,ok,OP-USDT-SWAP,,,0.1217,False,,,,False,,short,5m,2026-03-19 14:04:02
False,,reentry_check,True,ok,RESOLV-USDT-SWAP,,,0.06391,False,,,,False,,long,5m,2026-03-19 14:04:02
False,,reentry_check,True,ok,RESOLV-USDT-SWAP,,,0.06391,False,,,,False,,short,5m,2026-03-19 14:04:02
False,,reentry_check,True,ok,SKY-USDT-SWAP,,,0.03269,False,,,,False,,long,5m,2026-03-19 14:04:02
False,,reentry_check,True,ok,SKY-USDT-SWAP,,,0.03269,False,,,,False,,short,5m,2026-03-19 14:04:02
False,,reentry_check,True,ok,SYRUP-USDT-SWAP,,,0.2473,False,,,,False,,long,5m,2026-03-19 14:04:03
False,,reentry_check,True,ok,SYRUP-USDT-SWAP,,,0.2473,False,,,,False,,short,5m,2026-03-19 14:04:03
False,,reentry_check,True,ok,THETA-USDT-SWAP,,,0.1756,False,,,,False,,long,5m,2026-03-19 14:04:03
False,,reentry_check,True,ok,THETA-USDT-SWAP,,,0.1756,False,,,,False,,short,5m,2026-03-19 14:04:03
False,,reentry_check,True,ok,TON-USDT-SWAP,,,1.252,False,,,,False,,long,5m,2026-03-19 14:04:03
False,,reentry_check,True,ok,TON-USDT-SWAP,,,1.252,False,,,,False,,short,5m,2026-03-19 14:04:03
False,,reentry_check,True,ok,TRX-USDT-SWAP,,,0.3029,False,,,,False,,long,5m,2026-03-19 14:04:03
False,,reentry_check,True,ok,TRX-USDT-SWAP,,,0.3029,False,,,,False,,short,5m,2026-03-19 14:04:03
False,,reentry_check,True,ok,1INCH-USDT-SWAP,,,0.0969,False,,,,False,,long,5m,2026-03-19 14:04:19
False,,reentry_check,True,ok,1INCH-USDT-SWAP,,,0.0969,False,,,,False,,short,5m,2026-03-19 14:04:19
False,,reentry_check,True,ok,2Z-USDT-SWAP,,,0.0779,False,,,,False,,long,5m,2026-03-19 14:04:19
