available_after_bans,cache_errors,cache_fetch_count,closed_trades,connectivity_components_down,connectivity_state,event,loop_duration_sec,open_positions,signals_blocked,signals_found,symbols_scanned,ts
107,0,5711,2,[],CONNECTED,SYSTEM_HEALTH,156.10960054397583,1,0,0,108,2026-03-29 17:04:41
107,0,5894,2,[],CONNECTED,SYSTEM_HEALTH,156.10960054397583,2,0,2,108,2026-03-29 17:06:41
107,0,6195,2,[],CONNECTED,SYSTEM_HEALTH,122.10892033576965,3,0,4,108,2026-03-29 17:08:36
107,0,6484,2,[],CONNECTED,SYSTEM_HEALTH,114.17099571228027,4,0,2,108,2026-03-29 17:10:27
107,0,6779,2,[],CONNECTED,SYSTEM_HEALTH,108.78848838806152,5,0,1,108,2026-03-29 17:12:44
107,0,6779,3,[],CONNECTED,SYSTEM_HEALTH,135.4626452922821,4,0,1,108,2026-03-29 17:13:02
107,0,7097,3,[],CONNECTED,SYSTEM_HEALTH,135.4626452922821,5,0,2,108,2026-03-29 17:15:35
107,0,7097,3,[],CONNECTED,SYSTEM_HEALTH,170.00019431114197,5,0,2,108,2026-03-29 17:16:00
107,0,7415,3,[],CONNECTED,SYSTEM_HEALTH,174.3579065799713,5,0,2,108,2026-03-29 17:18:34
107,0,7729,3,[],CONNECTED,SYSTEM_HEALTH,164.6500768661499,5,0,3,108,2026-03-29 17:21:20
107,0,7729,3,[],CONNECTED,SYSTEM_HEALTH,164.6500768661499,5,0,3,108,2026-03-29 17:22:08
107,0,8069,3,[],CONNECTED,SYSTEM_HEALTH,187.39602375030518,5,0,0,108,2026-03-29 17:24:29
107,0,8069,3,[],CONNECTED,SYSTEM_HEALTH,187.39602375030518,5,0,0,108,2026-03-29 17:25:13
107,0,8416,3,[],CONNECTED,SYSTEM_HEALTH,198.40532898902893,5,0,0,108,2026-03-29 17:27:50
107,0,8416,3,[],CONNECTED,SYSTEM_HEALTH,198.40532898902893,5,0,0,108,2026-03-29 17:28:07
107,0,8752,3,[],CONNECTED,SYSTEM_HEALTH,167.32530879974365,5,0,0,108,2026-03-29 17:30:38
107,0,8886,3,[],CONNECTED,SYSTEM_HEALTH,167.32530879974365,5,0,0,108,2026-03-29 17:31:01
107,0,9177,3,[],CONNECTED,SYSTEM_HEALTH,167.32530879974365,6,0,2,108,2026-03-29 17:33:08
107,0,9512,3,[],CONNECTED,SYSTEM_HEALTH,151.26566457748413,7,0,1,108,2026-03-29 17:35:57
107,0,9512,3,[],CONNECTED,SYSTEM_HEALTH,167.77916288375854,7,0,1,108,2026-03-29 17:36:00
106,0,9848,4,[],CONNECTED,SYSTEM_HEALTH,168.0813503265381,6,0,2,108,2026-03-29 17:38:50
106,0,9848,4,[],CONNECTED,SYSTEM_HEALTH,168.0813503265381,6,0,2,108,2026-03-29 17:39:04
106,0,10295,4,[],CONNECTED,SYSTEM_HEALTH,168.0813503265381,7,0,1,108,2026-03-29 17:41:28
106,0,10295,4,[],CONNECTED,SYSTEM_HEALTH,159.10156226158142,7,0,1,108,2026-03-29 17:42:00
106,0,10603,4,[],CONNECTED,SYSTEM_HEALTH,149.30545377731323,7,0,0,108,2026-03-29 17:44:01
106,0,11083,4,"['public', 'ws_public', 'ws_private']",DEGRADED,SYSTEM_HEALTH,30.84748101234436,7,0,0,108,2026-03-29 17:48:37
106,0,11083,4,"['public', 'ws_public', 'ws_private']",DEGRADED,SYSTEM_HEALTH,30.84748101234436,7,0,0,108,2026-03-29 17:49:00
105,0,11444,6,[],CONNECTED,SYSTEM_HEALTH,142.06107211112976,5,0,1,108,2026-03-29 17:51:45
105,0,11444,6,[],CONNECTED,SYSTEM_HEALTH,142.06107211112976,5,0,1,108,2026-03-29 17:52:02
105,0,11772,6,[],CONNECTED,SYSTEM_HEALTH,192.37956857681274,5,0,0,108,2026-03-29 17:54:59
105,0,11772,6,[],CONNECTED,SYSTEM_HEALTH,192.37956857681274,5,0,0,108,2026-03-29 17:55:00
105,0,12226,7,[],CONNECTED,SYSTEM_HEALTH,175.5107865333557,4,0,0,108,2026-03-29 17:57:58
105,0,12226,8,[],CONNECTED,SYSTEM_HEALTH,175.5107865333557,3,0,0,108,2026-03-29 17:58:09
105,0,12535,8,[],CONNECTED,SYSTEM_HEALTH,187.2366816997528,3,0,2,108,2026-03-29 18:01:05
105,0,12867,10,[],CONNECTED,SYSTEM_HEALTH,193.9912669658661,1,0,0,108,2026-03-29 18:04:21
105,0,13174,10,[],CONNECTED,SYSTEM_HEALTH,193.9912669658661,2,0,1,108,2026-03-29 18:06:54
105,0,13174,10,[],CONNECTED,SYSTEM_HEALTH,154.89098572731018,2,0,1,108,2026-03-29 18:07:02
105,0,13479,10,[],CONNECTED,SYSTEM_HEALTH,152.42460751533508,2,0,0,108,2026-03-29 18:09:31
105,0,13783,10,[],CONNECTED,SYSTEM_HEALTH,152.37799835205078,2,0,0,108,2026-03-29 18:12:05
105,0,13967,10,[],CONNECTED,SYSTEM_HEALTH,157.76874709129333,2,0,0,108,2026-03-29 18:14:45
105,0,14285,10,[],CONNECTED,SYSTEM_HEALTH,154.91291689872742,2,0,1,108,2026-03-29 18:17:21
105,0,14599,10,[],CONNECTED,SYSTEM_HEALTH,163.19145274162292,2,0,1,108,2026-03-29 18:20:06
105,0,14924,11,[],CONNECTED,SYSTEM_HEALTH,169.73085737228394,1,0,0,108,2026-03-29 18:22:57
105,0,14924,11,[],CONNECTED,SYSTEM_HEALTH,169.73085737228394,1,0,0,108,2026-03-29 18:23:04
104,0,15233,11,[],CONNECTED,SYSTEM_HEALTH,162.59667587280273,1,0,2,108,2026-03-29 18:25:41
104,0,15536,11,[],CONNECTED,SYSTEM_HEALTH,155.46186089515686,1,0,0,108,2026-03-29 18:28:18
104,0,15828,11,[],CONNECTED,SYSTEM_HEALTH,155.46186089515686,2,0,3,108,2026-03-29 18:30:55
104,0,15828,11,[],CONNECTED,SYSTEM_HEALTH,159.3346073627472,3,0,3,108,2026-03-29 18:31:03
104,0,16125,11,[],CONNECTED,SYSTEM_HEALTH,159.3346073627472,4,0,6,108,2026-03-29 18:33:48
104,0,16125,11,[],CONNECTED,SYSTEM_HEALTH,175.84373497962952,7,0,6,108,2026-03-29 18:34:02
104,0,16432,11,[],CONNECTED,SYSTEM_HEALTH,166.56977128982544,7,0,2,108,2026-03-29 18:36:45
104,0,16432,11,[],CONNECTED,SYSTEM_HEALTH,166.56977128982544,7,0,2,108,2026-03-29 18:37:00
104,0,16759,11,[],CONNECTED,SYSTEM_HEALTH,177.59683299064636,7,0,0,108,2026-03-29 18:39:45
104,0,16759,11,[],CONNECTED,SYSTEM_HEALTH,177.59683299064636,7,0,0,108,2026-03-29 18:40:01
104,0,16918,11,[],CONNECTED,SYSTEM_HEALTH,177.59683299064636,7,0,0,108,2026-03-29 18:41:06
104,0,17228,11,[],CONNECTED,SYSTEM_HEALTH,238.21805787086487,7,0,0,108,2026-03-29 18:43:44
104,0,17228,11,[],CONNECTED,SYSTEM_HEALTH,238.21805787086487,7,0,0,108,2026-03-29 18:44:02
104,0,17568,11,[],CONNECTED,SYSTEM_HEALTH,212.9565246105194,7,0,1,108,2026-03-29 18:47:19
104,0,17711,11,[],CONNECTED,SYSTEM_HEALTH,212.9565246105194,7,0,1,108,2026-03-29 18:48:06
104,0,17895,11,[],CONNECTED,SYSTEM_HEALTH,188.45201969146729,7,0,0,108,2026-03-29 18:50:29
104,0,18212,11,[],CONNECTED,SYSTEM_HEALTH,172.41240859031677,7,0,0,108,2026-03-29 18:53:23
104,0,18534,11,[],CONNECTED,SYSTEM_HEALTH,170.28927206993103,7,0,0,108,2026-03-29 18:56:15
104,0,18682,12,[],CONNECTED,SYSTEM_HEALTH,170.28927206993103,6,0,0,108,2026-03-29 18:57:02
104,0,19008,13,[],CONNECTED,SYSTEM_HEALTH,238.5632348060608,5,0,0,108,2026-03-29 19:00:15
104,0,19316,14,[],CONNECTED,SYSTEM_HEALTH,146.84232926368713,4,0,0,108,2026-03-29 19:02:43
104,0,19600,14,[],CONNECTED,SYSTEM_HEALTH,116.70967936515808,4,0,0,108,2026-03-29 19:04:42
104,0,19898,14,[],CONNECTED,SYSTEM_HEALTH,116.70967936515808,5,0,1,108,2026-03-29 19:07:20
104,0,20207,14,[],CONNECTED,SYSTEM_HEALTH,159.81620478630066,6,0,1,108,2026-03-29 19:10:16
104,0,20207,16,[],CONNECTED,SYSTEM_HEALTH,174.24790740013123,4,0,1,108,2026-03-29 19:11:07
104,0,20549,16,[],CONNECTED,SYSTEM_HEALTH,161.99483561515808,4,0,0,108,2026-03-29 19:13:03
104,0,20866,16,[],CONNECTED,SYSTEM_HEALTH,119.84740328788757,4,0,0,108,2026-03-29 19:15:04
104,0,21172,16,[],CONNECTED,SYSTEM_HEALTH,118.34108018875122,4,0,0,108,2026-03-29 19:17:04
104,0,21460,16,[],CONNECTED,SYSTEM_HEALTH,117.07351493835449,4,0,0,108,2026-03-29 19:19:02
104,0,21729,16,[],CONNECTED,SYSTEM_HEALTH,100.5563006401062,4,0,0,108,2026-03-29 19:20:44
104,0,21729,17,[],CONNECTED,SYSTEM_HEALTH,100.5563006401062,3,0,0,108,2026-03-29 19:21:09
103,0,22008,17,[],CONNECTED,SYSTEM_HEALTH,100.5563006401062,4,0,3,108,2026-03-29 19:23:03
103,0,22282,19,[],CONNECTED,SYSTEM_HEALTH,109.38328194618225,2,0,0,108,2026-03-29 19:24:58
103,0,22282,19,[],CONNECTED,SYSTEM_HEALTH,109.38328194618225,2,0,0,108,2026-03-29 19:25:02
103,0,22554,19,[],CONNECTED,SYSTEM_HEALTH,117.65610408782959,2,0,0,108,2026-03-29 19:26:56
