action,inst_id,latency_ms,price,qty,response_code,response_message,side,success,timestamp,trade_id
position_opened,LQTY-USDT-SWAP,0.0,0.2688,10198.1,,,long,True,2026-03-29 17:35:57,20260329_173557_LQTY-USDT-SWAP_long
OPEN,LQTY-USDT-SWAP,0.0,0.2688,10198.1,,Первичный вход + bootstrap-stop,long,True,2026-03-29 17:35:57,20260329_173557_LQTY-USDT-SWAP_long
close_pending_exchange,LQTY-USDT-SWAP,0.0,0.2688,10198.1,,SYNC recheck during entry recovery: PENDING_RECHECK,long,True,2026-03-29 17:36:00,20260329_173557_LQTY-USDT-SWAP_long
close_pending_exchange,MAGIC-USDT-SWAP,0.0,0.05586,147795.0,,SYNC confirmed close after exchange absence,short,True,2026-03-29 17:36:00,20260329_171535_MAGIC-USDT-SWAP_short
position_closed,MAGIC-USDT-SWAP,0.0,0.0,147795.0,синхронизация:_позиция_отсутствует_на_бирже,Синхронизация: позиция отсутствует на бирже,short,True,2026-03-29 17:36:35,20260329_171535_MAGIC-USDT-SWAP_short
CLOSE,MAGIC-USDT-SWAP,0.0,0.05608,147795.0,,Синхронизация: позиция отсутствует на бирже,short,True,2026-03-29 17:36:35,20260329_171535_MAGIC-USDT-SWAP_short
position_opened,AUCTION-USDT-SWAP,0.0,4.397,6190.6,,,long,True,2026-03-29 17:41:28,20260329_174127_AUCTION-USDT-SWAP_long
OPEN,AUCTION-USDT-SWAP,0.0,4.397,6190.6,,Первичный вход + bootstrap-stop,long,True,2026-03-29 17:41:28,20260329_174127_AUCTION-USDT-SWAP_long
close_pending_exchange,AUCTION-USDT-SWAP,0.0,4.397,6190.6,,SYNC recheck during entry recovery: PENDING_RECHECK,long,True,2026-03-29 17:41:30,20260329_174127_AUCTION-USDT-SWAP_long
close_pending_exchange,COMP-USDT-SWAP,0.0,17.95,1505.1,,SYNC confirmed close after exchange absence,short,True,2026-03-29 17:48:37,20260329_173308_COMP-USDT-SWAP_short
close_pending_exchange,THETA-USDT-SWAP,0.0,0.15,1886.0,,SYNC confirmed close after exchange absence,short,True,2026-03-29 17:48:37,20260329_170641_THETA-USDT-SWAP_short
position_closed,COMP-USDT-SWAP,0.0,0.0,1505.1,синхронизация:_позиция_отсутствует_на_бирже,Синхронизация: позиция отсутствует на бирже,short,True,2026-03-29 17:49:09,20260329_173308_COMP-USDT-SWAP_short
CLOSE,COMP-USDT-SWAP,0.0,18.0,1505.1,,Синхронизация: позиция отсутствует на бирже,short,True,2026-03-29 17:49:09,20260329_173308_COMP-USDT-SWAP_short
close_pending_exchange,THETA-USDT-SWAP,0.0,0.1501,1886.0,,SYNC confirmed close after stop fault: PENDING_RECHECK,short,True,2026-03-29 17:49:21,20260329_170641_THETA-USDT-SWAP_short
position_closed,THETA-USDT-SWAP,0.0,0.0,1886.0,sync_confirmed_close_after_stop_fault:_pending_recheck,SYNC confirmed close after stop fault: PENDING_RECHECK,short,True,2026-03-29 17:49:21,20260329_170641_THETA-USDT-SWAP_short
CLOSE,THETA-USDT-SWAP,0.0,0.1501,1886.0,,SYNC confirmed close after stop fault: PENDING_RECHECK,short,True,2026-03-29 17:49:21,20260329_170641_THETA-USDT-SWAP_short
close_pending_exchange,AUCTION-USDT-SWAP,0.0,4.388,6190.6,,SYNC confirmed close after exchange absence,long,True,2026-03-29 17:54:59,20260329_174127_AUCTION-USDT-SWAP_long
close_pending_exchange,AUCTION-USDT-SWAP,0.0,4.387,6190.6,,SYNC confirmed close after stop fault: PENDING_RECHECK,long,True,2026-03-29 17:57:56,20260329_174127_AUCTION-USDT-SWAP_long
position_closed,AUCTION-USDT-SWAP,0.0,0.0,6190.6,sync_confirmed_close_after_stop_fault:_pending_recheck,SYNC confirmed close after stop fault: PENDING_RECHECK,long,True,2026-03-29 17:57:56,20260329_174127_AUCTION-USDT-SWAP_long
CLOSE,AUCTION-USDT-SWAP,0.0,4.387,6190.6,,SYNC confirmed close after stop fault: PENDING_RECHECK,long,True,2026-03-29 17:57:56,20260329_174127_AUCTION-USDT-SWAP_long
close_pending_exchange,LTC-USDT-SWAP,0.0,53.59,51.9,,SYNC confirmed close after exchange absence,short,True,2026-03-29 17:57:56,20260329_170836_LTC-USDT-SWAP_short
position_closed,LTC-USDT-SWAP,0.0,0.0,51.9,синхронизация:_позиция_отсутствует_на_бирже,Синхронизация: позиция отсутствует на бирже,short,True,2026-03-29 17:58:07,20260329_170836_LTC-USDT-SWAP_short
CLOSE,LTC-USDT-SWAP,0.0,53.65,51.9,,Синхронизация: позиция отсутствует на бирже,short,True,2026-03-29 17:58:07,20260329_170836_LTC-USDT-SWAP_short
close_pending_exchange,ATOM-USDT-SWAP,0.0,1.638,1687.0,,SYNC confirmed close after exchange absence,short,True,2026-03-29 18:01:05,20260329_171027_ATOM-USDT-SWAP_short
position_closed,ATOM-USDT-SWAP,0.0,0.0,1687.0,синхронизация:_позиция_отсутствует_на_бирже,Синхронизация: позиция отсутствует на бирже,short,True,2026-03-29 18:01:15,20260329_171027_ATOM-USDT-SWAP_short
CLOSE,ATOM-USDT-SWAP,0.0,1.642,1687.0,,Синхронизация: позиция отсутствует на бирже,short,True,2026-03-29 18:01:15,20260329_171027_ATOM-USDT-SWAP_short
position_closed,LQTY-USDT-SWAP,0.0,0.0,10198.1,синхронизация:_позиция_отсутствует_на_бирже,Синхронизация: позиция отсутствует на бирже,long,True,2026-03-29 18:01:51,20260329_173557_LQTY-USDT-SWAP_long
CLOSE,LQTY-USDT-SWAP,0.0,0.2682,10198.1,,Синхронизация: позиция отсутствует на бирже,long,True,2026-03-29 18:01:51,20260329_173557_LQTY-USDT-SWAP_long
position_opened,THETA-USDT-SWAP,0.0,0.1503,1873.0,,,long,True,2026-03-29 18:06:54,20260329_180654_THETA-USDT-SWAP_long
OPEN,THETA-USDT-SWAP,0.0,0.1503,1873.0,,Первичный вход + bootstrap-stop,long,True,2026-03-29 18:06:54,20260329_180654_THETA-USDT-SWAP_long
close_pending_exchange,THETA-USDT-SWAP,0.0,0.1503,1873.0,,SYNC recheck during entry recovery: PENDING_RECHECK,long,True,2026-03-29 18:06:57,20260329_180654_THETA-USDT-SWAP_long
close_pending_exchange,THETA-USDT-SWAP,0.0,0.15,1873.0,,SYNC confirmed close after exchange absence,long,True,2026-03-29 18:20:06,20260329_180654_THETA-USDT-SWAP_long
position_closed,THETA-USDT-SWAP,0.0,0.0,1873.0,синхронизация:_позиция_отсутствует_на_бирже,Синхронизация: позиция отсутствует на бирже,long,True,2026-03-29 18:20:23,20260329_180654_THETA-USDT-SWAP_long
CLOSE,THETA-USDT-SWAP,0.0,0.1501,1873.0,,Синхронизация: позиция отсутствует на бирже,long,True,2026-03-29 18:20:23,20260329_180654_THETA-USDT-SWAP_long
position_opened,SOL-USDT-SWAP,0.0,81.5,34.55,,,short,True,2026-03-29 18:30:55,20260329_183054_SOL-USDT-SWAP_short
OPEN,SOL-USDT-SWAP,0.0,81.5,34.55,,Первичный вход + bootstrap-stop,short,True,2026-03-29 18:30:55,20260329_183054_SOL-USDT-SWAP_short
position_opened,XTZ-USDT-SWAP,0.0,0.341,8200.0,,,short,True,2026-03-29 18:30:56,20260329_183056_XTZ-USDT-SWAP_short
OPEN,XTZ-USDT-SWAP,0.0,0.341,8200.0,,Первичный вход + bootstrap-stop,short,True,2026-03-29 18:30:56,20260329_183056_XTZ-USDT-SWAP_short
close_pending_exchange,MET-USDT-SWAP,0.0,0.1353,2059.0,,SYNC confirmed close after exchange absence,short,True,2026-03-29 18:30:59,20260329_171243_MET-USDT-SWAP_short
close_pending_exchange,SOL-USDT-SWAP,0.0,81.5,34.55,,SYNC recheck during entry recovery: PENDING_RECHECK,short,True,2026-03-29 18:30:59,20260329_183054_SOL-USDT-SWAP_short
position_opened,LINK-USDT-SWAP,0.0,8.41,330.16,,,short,True,2026-03-29 18:33:48,20260329_183347_LINK-USDT-SWAP_short
OPEN,LINK-USDT-SWAP,0.0,8.41,330.16,,Первичный вход + bootstrap-stop,short,True,2026-03-29 18:33:48,20260329_183347_LINK-USDT-SWAP_short
position_opened,LTC-USDT-SWAP,0.0,53.46,51.5,,,short,True,2026-03-29 18:33:50,20260329_183349_LTC-USDT-SWAP_short
OPEN,LTC-USDT-SWAP,0.0,53.46,51.5,,Первичный вход + bootstrap-stop,short,True,2026-03-29 18:33:50,20260329_183349_LTC-USDT-SWAP_short
position_opened,NEAR-USDT-SWAP,0.0,1.1566,236.7,,,short,True,2026-03-29 18:33:52,20260329_183351_NEAR-USDT-SWAP_short
OPEN,NEAR-USDT-SWAP,0.0,1.1566,236.7,,Первичный вход + bootstrap-stop,short,True,2026-03-29 18:33:52,20260329_183351_NEAR-USDT-SWAP_short
position_opened,LQTY-USDT-SWAP,0.0,0.2691,10102.9,,,long,True,2026-03-29 18:33:53,20260329_183353_LQTY-USDT-SWAP_long
OPEN,LQTY-USDT-SWAP,0.0,0.2691,10102.9,,Первичный вход + bootstrap-stop,long,True,2026-03-29 18:33:53,20260329_183353_LQTY-USDT-SWAP_long
close_pending_exchange,NEAR-USDT-SWAP,0.0,1.1552,946.8,,SYNC confirmed close after exchange absence,short,True,2026-03-29 18:56:15,20260329_183351_NEAR-USDT-SWAP_short
close_pending_exchange,XTZ-USDT-SWAP,0.0,0.3408,16400.0,,SYNC confirmed close after exchange absence,short,True,2026-03-29 18:56:15,20260329_183056_XTZ-USDT-SWAP_short
position_closed,XTZ-USDT-SWAP,0.0,0.0,16400.0,синхронизация:_позиция_отсутствует_на_бирже,Синхронизация: позиция отсутствует на бирже,short,True,2026-03-29 18:56:51,20260329_183056_XTZ-USDT-SWAP_short
CLOSE,XTZ-USDT-SWAP,0.0,0.3424,16400.0,,Синхронизация: позиция отсутствует на бирже,short,True,2026-03-29 18:56:51,20260329_183056_XTZ-USDT-SWAP_short
position_closed,NEAR-USDT-SWAP,0.0,0.0,946.8,синхронизация:_позиция_отсутствует_на_бирже,Синхронизация: позиция отсутствует на бирже,short,True,2026-03-29 18:57:22,20260329_183351_NEAR-USDT-SWAP_short
