breakout_id,cooldown_blocked,cooldown_expired,cooldown_required_seconds,event,final_decision_allow_true_false,final_reason,inst_id,last_exit_reason,last_trade_pnl,price,recent_stopout_present,recent_trade_penalty,recovery_atr_actual,recovery_atr_required,recovery_blocked,seconds_since_last_close,side,timeframe,ts
,False,,,reentry_check,True,ok,DOT-USDT-SWAP,,,1.266,False,,,,False,,short,5m,2026-03-29 04:28:01
,False,,,reentry_check,True,ok,ETC-USDT-SWAP,,,8.04,False,,,,False,,long,5m,2026-03-29 04:28:05
,False,,,reentry_check,True,ok,ETC-USDT-SWAP,,,8.04,False,,,,False,,short,5m,2026-03-29 04:28:05
,False,,,reentry_check,True,ok,INJ-USDT-SWAP,,,2.835,False,,,,False,,long,5m,2026-03-29 04:28:21
,False,,,reentry_check,True,ok,INJ-USDT-SWAP,,,2.835,False,,,,False,,short,5m,2026-03-29 04:28:21
,False,,,reentry_check,True,ok,LINK-USDT-SWAP,,,8.461,False,,,,False,,long,5m,2026-03-29 04:28:29
,False,,,reentry_check,True,ok,LINK-USDT-SWAP,,,8.461,False,,,,False,,short,5m,2026-03-29 04:28:29
,False,,,reentry_check,True,ok,LIT-USDT-SWAP,,,0.854,False,,,,False,,long,5m,2026-03-29 04:28:30
,False,,,reentry_check,True,ok,LIT-USDT-SWAP,,,0.854,False,,,,False,,short,5m,2026-03-29 04:28:30
,False,,,reentry_check,True,ok,LPT-USDT-SWAP,,,2.059,False,,,,False,,long,5m,2026-03-29 04:28:31
,False,,,reentry_check,True,ok,LPT-USDT-SWAP,,,2.059,False,,,,False,,short,5m,2026-03-29 04:28:31
,False,,,reentry_check,True,ok,LQTY-USDT-SWAP,,,0.2662,False,,,,False,,long,5m,2026-03-29 04:28:33
,False,,,reentry_check,True,ok,LQTY-USDT-SWAP,,,0.2662,False,,,,False,,short,5m,2026-03-29 04:28:33
,False,,,reentry_check,True,ok,LTC-USDT-SWAP,,,53.98,False,,,,False,,long,5m,2026-03-29 04:28:36
,False,,,reentry_check,True,ok,LTC-USDT-SWAP,,,53.98,False,,,,False,,short,5m,2026-03-29 04:28:36
,False,,,reentry_check,True,ok,MASK-USDT-SWAP,,,0.4604,False,,,,False,,long,5m,2026-03-29 04:28:38
,False,,,reentry_check,True,ok,MASK-USDT-SWAP,,,0.4604,False,,,,False,,short,5m,2026-03-29 04:28:38
,False,,,reentry_check,True,ok,MET-USDT-SWAP,,,0.1403,False,,,,False,,long,5m,2026-03-29 04:28:39
,False,,,reentry_check,True,ok,MET-USDT-SWAP,,,0.1403,False,,,,False,,short,5m,2026-03-29 04:28:39
,False,,,reentry_check,True,ok,NEAR-USDT-SWAP,,,1.1695,False,,,,False,,long,5m,2026-03-29 04:28:43
,False,,,reentry_check,True,ok,NEAR-USDT-SWAP,,,1.1695,False,,,,False,,short,5m,2026-03-29 04:28:43
,False,,,reentry_check,True,ok,NEO-USDT-SWAP,,,2.577,False,,,,False,,long,5m,2026-03-29 04:28:45
,False,,,reentry_check,True,ok,NEO-USDT-SWAP,,,2.577,False,,,,False,,short,5m,2026-03-29 04:28:45
,False,,,reentry_check,True,ok,SAND-USDT-SWAP,,,0.0735,False,,,,False,,long,5m,2026-03-29 04:28:57
,False,,,reentry_check,True,ok,SAND-USDT-SWAP,,,0.0735,False,,,,False,,short,5m,2026-03-29 04:28:57
