early_exit_flag,early_exit_gap_pct,exit_efficiency,exit_reason,hybrid_stop_mode,inst_id,mfe_pct,realized_pnl_pct,realized_r,side,system_name,trade_id,trend_capture_ratio,trend_move_r,trend_strength_r,turtle_exit_period,units
False,0.0,0.724138,sync_confirmed_close_after_stop_fault:_missing,DONCHIAN_ACTIVE,SHIB-USDT-SWAP,3.84778,13.31923879645111,3.000002,long,Turtle 20,20260330_033122_SHIB-USDT-SWAP_long,3.461539,0.866667,0.866667,10,4
False,0.66141,0.100698,синхронизация:_позиция_отсутствует_на_бирже,DONCHIAN_ACTIVE,LPT-USDT-SWAP,0.899992,0.2385818620085564,0.039368,long,Turtle 20,20260330_103103_LPT-USDT-SWAP_long,0.265093,0.148507,0.148507,10,2
False,0.112038,0.177305,синхронизация:_позиция_отсутствует_на_бирже,DONCHIAN_ACTIVE,AUCTION-USDT-SWAP,0.812279,0.7002408828637648,0.193199,long,Turtle 20,20260330_043318_AUCTION-USDT-SWAP_long,0.862069,0.224111,0.224111,10,4
False,1.784081,-0.666667,синхронизация:_позиция_отсутствует_на_бирже,ATR_INITIAL,LRC-USDT-SWAP,1.784081,-2.2872827081427127,-0.588236,long,Turtle 20,20260330_103101_LRC-USDT-SWAP_long,-1.282051,0.458824,0.458824,10,1
False,0.0,0.520003,синхронизация:_позиция_отсутствует_на_бирже,DONCHIAN_ACTIVE,OP-USDT-SWAP,3.671935,9.299111975784646,1.627738,long,Turtle 20,20260330_033127_OP-USDT-SWAP_long,2.532483,0.642744,0.642744,10,4
False,0.272331,-2.75,синхронизация:_позиция_отсутствует_на_бирже,ATR_INITIAL,COMP-USDT-SWAP,0.272331,-2.9956427015250386,-0.670736,long,Turtle 55,20260330_113309_COMP-USDT-SWAP_long,-11.000006,0.060976,0.060976,20,1
False,0.0,0.597633,синхронизация:_позиция_отсутствует_на_бирже,DONCHIAN_ACTIVE,INJ-USDT-SWAP,2.921112,8.833304180514176,1.849819,long,Turtle 20,20260330_043023_INJ-USDT-SWAP_long,3.023953,0.611722,0.611722,10,4
False,0.674626,-1.679188,синхронизация:_позиция_отсутствует_на_бирже,ATR_INITIAL,NEAR-USDT-SWAP,0.674626,-5.802300484218257,-0.788682,long,Turtle 55,20260330_113536_NEAR-USDT-SWAP_long,-8.600766,0.091699,0.091699,20,1
False,0.468055,-1.925,синхронизация:_позиция_отсутствует_на_бирже,DONCHIAN_ACTIVE,FLOKI-USDT-SWAP,0.468055,-4.505031594307848,-0.636367,long,Turtle 55,20260330_103059_FLOKI-USDT-SWAP_long,-9.625005,0.066116,0.066116,20,3
False,0.41516,-0.919538,rotation_block,ATR_INITIAL,XTZ-USDT-SWAP,0.41516,-1.7775413422113726,-0.343199,long,Turtle 20,20260330_110611_XTZ-USDT-SWAP_long,-4.281581,0.080157,0.080157,10,1
False,0.0,0.0,rotation_block,ATR_INITIAL,YFI-USDT-SWAP,0.009315,0.046573046937372464,0.008905,long,Turtle 55,20260330_113304_YFI-USDT-SWAP_long,4.99979,0.001781,0.001781,20,1
False,0.030973,0.0,rotation_block,ATR_INITIAL,CRO-USDT-SWAP,0.030973,-0.6123522985832416,-0.217555,long,Turtle 20,20260330_110606_CRO-USDT-SWAP_long,-19.770519,0.011004,0.011004,10,1
False,0.030567,-4.683388,rotation_block,ATR_INITIAL,MAGIC-USDT-SWAP,0.030567,-0.7157871695188086,-0.146497,long,Turtle 20,20260330_110423_MAGIC-USDT-SWAP_long,-23.416991,0.006256,0.006256,10,1
True,11.916972,0.0,rotation_block,DONCHIAN_ACTIVE,MASK-USDT-SWAP,12.771673,0.8547008547008963,0.154868,long,Turtle 20,20260330_110429_MASK-USDT-SWAP_long,0.066922,2.314159,2.314159,10,1
False,0.481541,0.0,rotation_block,ATR_INITIAL,ADA-USDT-SWAP,0.481541,-0.4012841091492892,-0.057472,long,Turtle 20,20260330_110434_ADA-USDT-SWAP_long,-0.833333,0.068966,0.068966,10,1
False,0.0,0.0,rotation_block,ATR_INITIAL,LINK-USDT-SWAP,0.034301,0.2858449576948893,0.04355,long,Turtle 55,20260330_110144_LINK-USDT-SWAP_long,8.333429,0.005226,0.005226,20,1
False,0.0,0.0,rotation_block,ATR_INITIAL,ATOM-USDT-SWAP,0.0,0.0,0.0,long,Turtle 55,20260330_110152_ATOM-USDT-SWAP_long,0.0,0.0,0.0,20,1
False,0.0,0.0,rotation_block,ATR_INITIAL,SAND-USDT-SWAP,0.0,-0.6640106241700056,0.0,long,Turtle 55,20260330_110146_SAND-USDT-SWAP_long,0.0,0.0,0.0,20,1
False,0.0,0.707739,rotation_block,DONCHIAN_ACTIVE,IMX-USDT-SWAP,0.350802,0.7334947009493769,0.135029,long,Turtle 20,20260330_073750_IMX-USDT-SWAP_long,2.090908,0.064579,0.064579,10,3
False,0.882338,-0.88599,синхронизация:_позиция_отсутствует_на_бирже,DONCHIAN_ACTIVE,MINA-USDT-SWAP,0.882338,-3.664769847820231,-0.955599,long,Turtle 55,20260330_033113_MINA-USDT-SWAP_long,-4.153476,0.230072,0.230072,20,4
False,0.617877,-0.513514,синхронизация:_позиция_отсутствует_на_бирже,DONCHIAN_ACTIVE,COMP-USDT-SWAP,0.617877,-1.3044075243718092,-0.366795,long,Turtle 20,20260330_050159_COMP-USDT-SWAP_long,-2.111112,0.173745,0.173745,10,4
False,0.0,1.6,синхронизация:_позиция_отсутствует_на_бирже,DONCHIAN_ACTIVE,FIL-USDT-SWAP,0.833333,4.761904761904765,0.540543,long,Turtle 20,20260330_083305_FIL-USDT-SWAP_long,5.714288,0.094595,0.094595,10,1
False,0.0,0.355373,sync_confirmed_close_after_stop_fault:_missing,DONCHIAN_ACTIVE,ZIL-USDT-SWAP,1.814274,2.889405945778668,0.781821,long,Turtle 20,20260330_033006_ZIL-USDT-SWAP_long,1.592596,0.49091,0.49091,10,4
False,1.21634,-0.019134,синхронизация:_позиция_отсутствует_на_бирже,DONCHIAN_ACTIVE,ETHFI-USDT-SWAP,1.21634,-1.0357369734139497,-0.215945,long,Turtle 20,20260330_033117_ETHFI-USDT-SWAP_long,-0.851519,0.2536,0.2536,10,4
False,0.007845,0.0,rotation_block,ATR_INITIAL,ICP-USDT-SWAP,0.007845,-0.8481568940994395,-0.169415,long,Turtle 20,20260330_080228_ICP-USDT-SWAP_long,-108.114327,0.001567,0.001567,10,1
False,0.222222,0.0,rotation_block,ATR_INITIAL,HBAR-USDT-SWAP,0.222222,-1.6666666666666372,-0.39474,long,Turtle 20,20260330_073558_HBAR-USDT-SWAP_long,-7.500008,0.052632,0.052632,10,1
False,3.253896,0.0,rotation_block,DONCHIAN_ACTIVE,LRC-USDT-SWAP,3.253896,-2.0623281393217185,-0.56962,long,Turtle 20,20260330_073602_LRC-USDT-SWAP_long,-0.633803,0.898734,0.898734,10,1
False,0.13459,0.0,rotation_block,ATR_INITIAL,SAND-USDT-SWAP,0.13459,0.0,0.0,long,Turtle 55,20260330_073347_SAND-USDT-SWAP_long,0.0,0.02439,0.02439,20,1
False,0.890208,0.0,rotation_block,ATR_INITIAL,BAND-USDT-SWAP,0.890208,-0.24727992087039807,-0.058824,long,Turtle 20,20260330_073357_BAND-USDT-SWAP_long,-0.277778,0.211765,0.211765,10,1
False,0.171835,0.0,rotation_block,ATR_INITIAL,BTC-USDT-SWAP,0.171835,-0.28243729299055736,-0.071593,long,Turtle 55,20260330_073351_BTC-USDT-SWAP_long,-1.643654,0.043557,0.043557,20,1
False,2.531672,0.0,синхронизация:_позиция_отсутствует_на_бирже,DONCHIAN_ACTIVE,CELO-USDT-SWAP,2.531672,-5.650868463494002,-1.946347,long,Turtle 20,20260330_073400_CELO-USDT-SWAP_long,-2.23207,0.871992,0.871992,10,1
False,2.531672,-3.506084,rotation_block,DONCHIAN_ACTIVE,CELO-USDT-SWAP,2.531672,-4.996967495853103,-0.540883,long,Turtle 20,20260330_043027_CELO-USDT-SWAP_long,-1.973782,0.274034,0.274034,10,2
False,0.0,0.0,rotation_block,ATR_INITIAL,THETA-USDT-SWAP,0.0,-0.32509752925874186,0.0,long,Turtle 55,20260330_073008_THETA-USDT-SWAP_long,0.0,0.0,0.0,20,1
False,0.287356,0.0,rotation_block,ATR_INITIAL,YGG-USDT-SWAP,0.287356,0.0,0.0,long,Turtle 20,20260330_073009_YGG-USDT-SWAP_long,0.0,0.055556,0.055556,10,1
False,17.487604,-0.236857,синхронизация:_позиция_отсутствует_на_бирже,DONCHIAN_ACTIVE,ETHW-USDT-SWAP,17.487604,-74.82684253116511,-2.222606,short,Turtle 55,20260330_020200_ETHW-USDT-SWAP_short,-4.27885,0.51944,0.51944,20,2
False,1.131626,-8.957236,синхронизация:_позиция_отсутствует_на_бирже,DONCHIAN_ACTIVE,AVAX-USDT-SWAP,1.131626,-36.40256890012121,-4.126688,long,Turtle 20,20260330_035410_AVAX-USDT-SWAP_long,-32.168374,0.128284,0.128284,10,3
False,0.744476,0.0,rotation_block,ATR_INITIAL,SOL-USDT-SWAP,0.744476,0.0,0.0,long,Turtle 55,20260330_060023_SOL-USDT-SWAP_long,0.0,0.133909,0.133909,20,1
False,0.16,0.0,rotation_block,ATR_INITIAL,LDO-USDT-SWAP,0.16,-0.6400000000000183,-0.104712,long,Turtle 55,20260330_060025_LDO-USDT-SWAP_long,-4.0,0.026178,0.026178,20,1
False,2.348132,-0.375736,синхронизация:_позиция_отсутствует_на_бирже,DONCHIAN_ACTIVE,ZBCN-USDT-SWAP,2.348132,-3.426202392971506,-0.704761,long,Turtle 20,20260330_033009_ZBCN-USDT-SWAP_long,-1.459118,0.483005,0.483005,10,2
True,2.047275,0.0,rotation_block,ATR_INITIAL,IMX-USDT-SWAP,2.056723,0.009448402274781283,0.001971,long,Turtle 20,20260330_050204_IMX-USDT-SWAP_long,0.004594,0.429135,0.429135,10,1
False,1.370355,0.0,rotation_block,ATR_INITIAL,YGG-USDT-SWAP,1.370355,-0.40970980370063803,-0.1062,long,Turtle 20,20260330_033008_YGG-USDT-SWAP_long,-0.298981,0.355206,0.355206,10,1
False,0.0,0.0,rotation_block,ATR_INITIAL,KSM-USDT-SWAP,0.0,-2.273815222594558,0.0,long,Turtle 55,20260330_033115_KSM-USDT-SWAP_long,0.0,0.0,0.0,20,1
False,0.722442,-0.128691,sync_confirmed_close_after_stop_fault:_pending_recheck,ATR_INITIAL,MAGIC-USDT-SWAP,0.722442,-0.5100083635494514,-0.13167,long,Turtle 20,20260330_033124_MAGIC-USDT-SWAP_long,-0.705951,0.186514,0.186514,10,1
False,0.0,0.0,rotation_block,ATR_INITIAL,ATOM-USDT-SWAP,0.0,-3.8968824940047657,0.0,long,Turtle 20,20260330_033129_ATOM-USDT-SWAP_long,0.0,0.0,0.0,10,1
False,0.0,0.0,rotation_block,ATR_INITIAL,MET-USDT-SWAP,0.0,-9.908536585365821,0.0,short,Turtle 55,20260330_023016_MET-USDT-SWAP_short,0.0,0.0,0.0,20,1
False,1.678953,0.0,синхронизация:_позиция_отсутствует_на_бирже,ATR_INITIAL,AXS-USDT-SWAP,1.678953,-11.625561128084698,-1.119187,short,Turtle 55,20260330_020155_AXS-USDT-SWAP_short,-6.924292,0.161632,0.161632,20,1
False,1.641729,-2.22914,синхронизация:_позиция_отсутствует_на_бирже,DONCHIAN_ACTIVE,LIT-USDT-SWAP,1.641729,-8.812561412879903,-1.330052,short,Turtle 55,20260330_020146_LIT-USDT-SWAP_short,-5.367854,0.247781,0.247781,20,2
False,2.1415,-7.7511,синхронизация:_позиция_отсутствует_на_бирже,DONCHIAN_ACTIVE,ICP-USDT-SWAP,2.1415,-8.873307096825272,-1.487799,short,Turtle 55,20260330_020144_ICP-USDT-SWAP_short,-4.143501,0.359068,0.359068,20,2
False,1.498121,-3.507668,синхронизация:_позиция_отсутствует_на_бирже,DONCHIAN_ACTIVE,COMP-USDT-SWAP,1.498121,-5.661633450847019,-1.327005,short,Turtle 55,20260330_020141_COMP-USDT-SWAP_short,-3.779156,0.351138,0.351138,20,2
False,1.97235,-5.470588,синхронизация:_позиция_отсутствует_на_бирже,DONCHIAN_ACTIVE,FLOKI-USDT-SWAP,1.97235,-8.57142857142857,-2.030568,short,Turtle 55,20260330_020138_FLOKI-USDT-SWAP_short,-4.345795,0.467249,0.467249,20,2
False,2.248811,-11.379108,синхронизация:_позиция_отсутствует_на_бирже,DONCHIAN_ACTIVE,LINK-USDT-SWAP,2.248811,-8.044241422013354,-2.722924,short,Turtle 55,20260330_020134_LINK-USDT-SWAP_short,-3.577109,0.761208,0.761208,20,2
False,1.36539,-4.025542,синхронизация:_позиция_отсутствует_на_бирже,DONCHIAN_ACTIVE,ATOM-USDT-SWAP,1.36539,-7.894633678389579,-2.051353,short,Turtle 55,20260330_020132_ATOM-USDT-SWAP_short,-5.781962,0.354785,0.354785,20,3
False,2.046617,-7.928504,синхронизация:_позиция_отсутствует_на_бирже,DONCHIAN_ACTIVE,INJ-USDT-SWAP,2.046617,-7.168889075691644,-1.679554,short,Turtle 55,20260330_020130_INJ-USDT-SWAP_short,-3.5028,0.479489,0.479489,20,2
False,2.10643,-5.3125,синхронизация:_позиция_отсутствует_на_бирже,DONCHIAN_ACTIVE,DOGE-USDT-SWAP,2.10643,-4.711751662970108,-1.7,short,Turtle 55,20260330_020126_DOGE-USDT-SWAP_short,-2.236842,0.76,0.76,20,2
False,2.038739,-39.766225,синхронизация:_позиция_отсутствует_на_бирже,DONCHIAN_ACTIVE,DOT-USDT-SWAP,2.038739,-8.184027164821076,-2.732418,short,Turtle 55,20260330_020124_DOT-USDT-SWAP_short,-4.014259,0.680678,0.680678,20,2
