early_exit_flag,early_exit_gap_pct,inst_id,last_stop_move_reason,mae_pct,market_risk_score,mfe_pct,pnl_pct,side,stop_move_events,trade_id,unit_add_events
False,0.0,XSR-USDT-SWAP,STOP_TRIGGERED,12776268.875981,206.5,0.0,-5.08634222919937,short,0,20260322_050812_XSR-USDT-SWAP_short,0
False,0.0,XSR-USDT-SWAP,STOP_TRIGGERED,12776268.875981,206.5,0.0,-5.08634222919937,short,0,20260322_050708_XSR-USDT-SWAP_short,0
False,0.0,XSR-USDT-SWAP,STOP_TRIGGERED,12776268.875981,206.5,0.0,-5.08634222919937,short,0,20260322_050604_XSR-USDT-SWAP_short,0
False,0.0,XSR-USDT-SWAP,STOP_TRIGGERED,12776268.875981,206.5,0.0,-5.08634222919937,short,0,20260322_050451_XSR-USDT-SWAP_short,0
False,0.0,XSR-USDT-SWAP,STOP_TRIGGERED,12776268.875981,206.5,0.0,-5.08634222919937,short,0,20260322_050348_XSR-USDT-SWAP_short,0
False,0.0,XSR-USDT-SWAP,STOP_TRIGGERED,12776268.875981,206.5,0.0,-5.08634222919937,short,0,20260322_050221_XSR-USDT-SWAP_short,0
False,0.0,XSR-USDT-SWAP,STOP_TRIGGERED,12776268.875981,206.5,0.0,-5.08634222919937,short,0,20260322_045928_XSR-USDT-SWAP_short,0
False,0.0,XSR-USDT-SWAP,STOP_TRIGGERED,12776268.875981,206.5,0.0,-5.08634222919937,short,0,20260322_045627_XSR-USDT-SWAP_short,0
False,0.0,XSR-USDT-SWAP,STOP_TRIGGERED,12776268.875981,206.5,0.0,-5.08634222919937,short,0,20260322_045407_XSR-USDT-SWAP_short,0
False,0.0,XSR-USDT-SWAP,STOP_TRIGGERED,12776268.875981,206.5,0.0,-5.08634222919937,short,0,20260322_045057_XSR-USDT-SWAP_short,0
False,0.026575,MINA-USDT-SWAP,closed_candle,5.693735,101.75,0.026575,-0.4838527283108202,short,1,20260322_044011_MINA-USDT-SWAP_short,0
False,0.0,XSR-USDT-SWAP,STOP_TRIGGERED,12776268.875981,206.5,0.0,-5.08634222919937,short,0,20260322_044824_XSR-USDT-SWAP_short,0
False,0.0,XSR-USDT-SWAP,STOP_TRIGGERED,12776268.875981,206.5,0.0,-5.08634222919937,short,0,20260322_044603_XSR-USDT-SWAP_short,0
False,0.0,XSR-USDT-SWAP,STOP_TRIGGERED,12776268.875981,206.5,0.0,-5.08634222919937,short,0,20260322_044432_XSR-USDT-SWAP_short,0
False,0.0,XSR-USDT-SWAP,STOP_TRIGGERED,16511509.764521,206.5,0.0,-5.08634222919937,short,0,20260322_044309_XSR-USDT-SWAP_short,0
False,0.0,XSR-USDT-SWAP,STOP_TRIGGERED,16511509.764521,206.5,0.0,-5.08634222919937,short,0,20260322_044019_XSR-USDT-SWAP_short,0
False,0.0,SAND-USDT-SWAP,pre_close:Ошибка: первичный стоп не подтверждён на бирже,6.002554,4.0,0.0,0.0,short,0,20260322_044015_SAND-USDT-SWAP_short,0
False,4.4e-05,BNB-USDT-SWAP,pre_close:ATR стоп 2.0N,0.595287,12.0,4.4e-05,-0.17228879920938592,short,0,20260322_034735_BNB-USDT-SWAP_short,0
False,2.317951,IMX-USDT-SWAP,closed_candle,4.651265,70.25,2.317951,-0.9215919424450522,long,1,20260322_035031_IMX-USDT-SWAP_long,1
False,0.731783,AAVE-USDT-SWAP,manage_cycle_reconcile,0.364902,289.5,2.99373,2.26194723936333,short,9,20260322_005040_AAVE-USDT-SWAP_short,3
False,0.0,ZBCN-USDT-SWAP,STOP_TRIGGERED,24.953096,15.0,0.0,-24.953095684803,long,0,20260322_034709_ZBCN-USDT-SWAP_long,0
False,0.0,ZBCN-USDT-SWAP,STOP_TRIGGERED,24.953096,15.0,0.0,0.0,long,0,20260322_034507_ZBCN-USDT-SWAP_long,0
False,2.037717,MINA-USDT-SWAP,closed_candle,1.267076,101.75,2.037717,-0.16752781749786955,short,2,20260322_020552_MINA-USDT-SWAP_short,3
False,0.852619,THETA-USDT-SWAP,manage_cycle_reconcile,3.714982,566.75,0.91352,0.06090133982948644,short,0,20260322_025333_THETA-USDT-SWAP_short,0
False,0.0,THETA-USDT-SWAP,manage_cycle_reconcile,2.192188,566.75,0.0,1.18606620871753,short,0,20260322_025038_THETA-USDT-SWAP_short,0
False,0.677638,INJ-USDT-SWAP,closed_candle,0.193611,61.25,0.677638,-0.2259522272433723,long,0,20260322_024823_INJ-USDT-SWAP_long,1
False,0.0,INJ-USDT-SWAP,closed_candle,0.909092,61.25,0.0,-0.6527949470781297,long,0,20260322_024515_INJ-USDT-SWAP_long,0
False,0.126844,AVAX-USDT-SWAP,closed_candle,0.612566,77.25,0.126844,-0.12678145311705807,short,2,20260322_020606_AVAX-USDT-SWAP_short,2
False,0.0,XRP-USDT-SWAP,closed_candle,0.241963,118.0,0.0,-0.11752506049082703,long,0,20260322_024017_XRP-USDT-SWAP_long,0
False,0.100908,ARB-USDT-SWAP,closed_candle_no_change_reconcile,1.009082,11.0,0.100908,-0.3027245206861843,short,0,20260322_023100_ARB-USDT-SWAP_short,1
False,0.0,ALGO-USDT-SWAP,pre_close:Ошибка: первичный стоп не подтверждён на бирже,1.135074,8.5,0.0,0.0,short,0,20260322_023105_ALGO-USDT-SWAP_short,0
False,0.033025,IMX-USDT-SWAP,closed_candle,1.533855,70.25,0.033025,-0.34302615463178215,short,0,20260322_021216_IMX-USDT-SWAP_short,0
False,0.001187,OP-USDT-SWAP,closed_candle,1.236422,18.0,0.001187,-0.49385691815944766,short,0,20260322_015717_OP-USDT-SWAP_short,0
False,0.0,ICP-USDT-SWAP,pre_close:ATR стоп 2.0N,0.837701,39.25,0.0,0.0019471126897486568,short,0,20260322_015517_ICP-USDT-SWAP_short,0
False,0.0,MET-USDT-SWAP,closed_candle,0.262295,16.0,0.0,0.0,long,0,20260322_014510_MET-USDT-SWAP_long,0
False,0.0,INJ-USDT-SWAP,closed_candle,0.70626,61.25,0.0,0.0,long,0,20260322_013518_INJ-USDT-SWAP_long,0
False,0.56275,CFX-USDT-SWAP,pre_close:ATR стоп 2.0N,0.978181,35.25,0.56275,-0.2316016164825011,short,2,20260322_003519_CFX-USDT-SWAP_short,3
False,0.02629,NEAR-USDT-SWAP,pre_close:Канальный выход 10 свечей,0.72665,228.0,0.02629,-0.22469033302967828,short,0,20260322_012548_NEAR-USDT-SWAP_short,0
False,0.0,LPT-USDT-SWAP,pre_close:Ошибка: первичный стоп не подтверждён на бирже,0.491667,16.5,0.0,-0.22043426855246065,short,0,20260322_012913_LPT-USDT-SWAP_short,0
False,0.046548,LPT-USDT-SWAP,pre_close:Ошибка: первичный стоп не подтверждён на бирже,0.405116,16.5,0.046548,-0.3147834961732986,short,0,20260322_012752_LPT-USDT-SWAP_short,0
False,0.090561,LPT-USDT-SWAP,pre_close:Ошибка: первичный стоп не подтверждён на бирже,0.360905,16.5,0.090561,-0.4060519608371196,short,0,20260322_012558_LPT-USDT-SWAP_short,0
False,0.0,KSM-USDT-SWAP,force_replace_place_failed:initial_stop_verify_recover,1.158659,21.0,0.0,-0.05623223799847685,short,0,20260322_012553_KSM-USDT-SWAP_short,0
False,0.021843,OP-USDT-SWAP,closed_candle,0.882565,18.0,0.021843,-0.3645861986255909,short,0,20260322_010557_OP-USDT-SWAP_short,0
False,0.329833,ADA-USDT-SWAP,pre_close:Ошибка: первичный стоп не подтверждён на бирже,0.881043,0.0,0.329833,-0.12424549570202312,short,0,20260322_011116_ADA-USDT-SWAP_short,0
False,0.0,MINA-USDT-SWAP,closed_candle,0.975352,101.75,0.0,-0.27532017231067135,short,0,20260322_011004_MINA-USDT-SWAP_short,0
