block_reason,cooldown_blocked,inst_id,last_exit_reason,last_trade_pnl,price,recovery_blocked,side,ts
cooldown после ATR-стопа ещё активен 1564s; цена отошла только на 0.00 ATR,True,IMX-USDT-SWAP,ATR стоп 2.0N,0.0,0.1614,True,short,2026-03-22 00:14:26
cooldown после ATR-стопа ещё активен 427s; цена отошла только на 0.00 ATR,True,INJ-USDT-SWAP,Ошибка: первичный стоп не подтверждён на бирже,0.0,3.11,True,long,2026-03-22 00:14:26
cooldown после ATR-стопа ещё активен 1124s; цена отошла только на 0.00 ATR,True,LDO-USDT-SWAP,ATR стоп 2.0N,0.0,0.2978,True,long,2026-03-22 00:14:27
cooldown после ATR-стопа ещё активен 1548s; цена отошла только на 0.00 ATR,True,IMX-USDT-SWAP,ATR стоп 2.0N,0.0,0.1614,True,short,2026-03-22 00:14:43
cooldown после ATR-стопа ещё активен 411s; цена отошла только на 0.00 ATR,True,INJ-USDT-SWAP,Ошибка: первичный стоп не подтверждён на бирже,0.0,3.11,True,long,2026-03-22 00:14:43
cooldown после ATR-стопа ещё активен 1107s; цена отошла только на 0.00 ATR,True,LDO-USDT-SWAP,ATR стоп 2.0N,0.0,0.2978,True,long,2026-03-22 00:14:43
cooldown после ATR-стопа ещё активен 1531s; цена отошла только на 0.00 ATR,True,IMX-USDT-SWAP,ATR стоп 2.0N,0.0,0.1614,True,short,2026-03-22 00:14:59
cooldown после ATR-стопа ещё активен 394s; цена отошла только на 0.00 ATR,True,INJ-USDT-SWAP,Ошибка: первичный стоп не подтверждён на бирже,0.0,3.11,True,long,2026-03-22 00:15:00
cooldown после ATR-стопа ещё активен 1090s; цена отошла только на 0.00 ATR,True,LDO-USDT-SWAP,ATR стоп 2.0N,0.0,0.2978,True,long,2026-03-22 00:15:00
cooldown после ATR-стопа ещё активен 1688s; цена отошла только на 0.00 ATR,True,XTZ-USDT-SWAP,ATR стоп 2.0N,0.0,0.395,True,long,2026-03-22 00:15:04
cooldown после ATR-стопа ещё активен 1697s; цена отошла только на 0.69 ATR,True,AAVE-USDT-SWAP,ATR стоп 2.0N,0.0,111.76,True,long,2026-03-22 00:15:33
cooldown после ATR-стопа ещё активен 1054s; цена отошла только на 0.00 ATR,True,LDO-USDT-SWAP,ATR стоп 2.0N,0.0,0.2978,True,long,2026-03-22 00:15:37
cooldown после ATR-стопа ещё активен 1651s; цена отошла только на 0.00 ATR,True,XTZ-USDT-SWAP,ATR стоп 2.0N,0.0,0.395,True,long,2026-03-22 00:15:40
cooldown после ATR-стопа ещё активен 1656s; цена отошла только на 0.69 ATR,True,AAVE-USDT-SWAP,ATR стоп 2.0N,0.0,111.76,True,long,2026-03-22 00:16:14
cooldown после ATR-стопа ещё активен 1012s; цена отошла только на 0.00 ATR,True,LDO-USDT-SWAP,ATR стоп 2.0N,0.0,0.2978,True,long,2026-03-22 00:16:19
cooldown после ATR-стопа ещё активен 1610s; цена отошла только на 0.00 ATR,True,XTZ-USDT-SWAP,ATR стоп 2.0N,0.0,0.395,True,long,2026-03-22 00:16:22
cooldown после ATR-стопа ещё активен 1629s; цена отошла только на 0.69 ATR,True,AAVE-USDT-SWAP,ATR стоп 2.0N,0.0,111.76,True,long,2026-03-22 00:16:41
cooldown после ATR-стопа ещё активен 987s; цена отошла только на 0.00 ATR,True,LDO-USDT-SWAP,ATR стоп 2.0N,0.0,0.2978,True,long,2026-03-22 00:16:44
cooldown после ATR-стопа ещё активен 1584s; цена отошла только на 0.00 ATR,True,XTZ-USDT-SWAP,ATR стоп 2.0N,0.0,0.395,True,long,2026-03-22 00:16:48
cooldown после ATR-стопа ещё активен 1602s; цена отошла только на 0.69 ATR,True,AAVE-USDT-SWAP,ATR стоп 2.0N,0.0,111.76,True,long,2026-03-22 00:17:07
cooldown после ATR-стопа ещё активен 959s; цена отошла только на 0.00 ATR,True,LDO-USDT-SWAP,ATR стоп 2.0N,0.0,0.2978,True,long,2026-03-22 00:17:12
cooldown после ATR-стопа ещё активен 1555s; цена отошла только на 0.00 ATR,True,XTZ-USDT-SWAP,ATR стоп 2.0N,0.0,0.395,True,long,2026-03-22 00:17:17
cooldown после ATR-стопа ещё активен 1575s; цена отошла только на 0.69 ATR,True,AAVE-USDT-SWAP,ATR стоп 2.0N,0.0,111.76,True,long,2026-03-22 00:17:34
cooldown после ATR-стопа ещё активен 932s; цена отошла только на 0.00 ATR,True,LDO-USDT-SWAP,ATR стоп 2.0N,0.0,0.2978,True,long,2026-03-22 00:17:38
cooldown после ATR-стопа ещё активен 1530s; цена отошла только на 0.00 ATR,True,XTZ-USDT-SWAP,ATR стоп 2.0N,0.0,0.395,True,long,2026-03-22 00:17:42
cooldown после ATR-стопа ещё активен 1548s; цена отошла только на 0.69 ATR,True,AAVE-USDT-SWAP,ATR стоп 2.0N,0.0,111.76,True,long,2026-03-22 00:18:01
cooldown после ATR-стопа ещё активен 906s; цена отошла только на 0.00 ATR,True,LDO-USDT-SWAP,ATR стоп 2.0N,0.0,0.2978,True,long,2026-03-22 00:18:05
cooldown после ATR-стопа ещё активен 1503s; цена отошла только на 0.00 ATR,True,XTZ-USDT-SWAP,ATR стоп 2.0N,0.0,0.395,True,long,2026-03-22 00:18:09
cooldown после ATR-стопа ещё активен 1521s; цена отошла только на 0.69 ATR,True,AAVE-USDT-SWAP,ATR стоп 2.0N,0.0,111.76,True,long,2026-03-22 00:18:29
cooldown после ATR-стопа ещё активен 878s; цена отошла только на 0.00 ATR,True,LDO-USDT-SWAP,ATR стоп 2.0N,0.0,0.2978,True,long,2026-03-22 00:18:33
cooldown после ATR-стопа ещё активен 1475s; цена отошла только на 0.00 ATR,True,XTZ-USDT-SWAP,ATR стоп 2.0N,0.0,0.395,True,long,2026-03-22 00:18:36
cooldown после ATR-стопа ещё активен 1496s; цена отошла только на 0.69 ATR,True,AAVE-USDT-SWAP,ATR стоп 2.0N,0.0,111.76,True,long,2026-03-22 00:18:53
cooldown после ATR-стопа ещё активен 853s; цена отошла только на 0.00 ATR,True,LDO-USDT-SWAP,ATR стоп 2.0N,0.0,0.2978,True,long,2026-03-22 00:18:58
cooldown после ATR-стопа ещё активен 1450s; цена отошла только на 0.00 ATR,True,XTZ-USDT-SWAP,ATR стоп 2.0N,0.0,0.395,True,long,2026-03-22 00:19:01
cooldown после ATR-стопа ещё активен 1469s; цена отошла только на 0.69 ATR,True,AAVE-USDT-SWAP,ATR стоп 2.0N,0.0,111.76,True,long,2026-03-22 00:19:20
cooldown после ATR-стопа ещё активен 826s; цена отошла только на 0.00 ATR,True,LDO-USDT-SWAP,ATR стоп 2.0N,0.0,0.2978,True,long,2026-03-22 00:19:24
cooldown после ATR-стопа ещё активен 1423s; цена отошла только на 0.00 ATR,True,XTZ-USDT-SWAP,ATR стоп 2.0N,0.0,0.395,True,long,2026-03-22 00:19:28
cooldown после ATR-стопа ещё активен 1437s; цена отошла только на 0.69 ATR,True,AAVE-USDT-SWAP,ATR стоп 2.0N,0.0,111.76,True,long,2026-03-22 00:19:52
cooldown после ATR-стопа ещё активен 794s; цена отошла только на 0.00 ATR,True,LDO-USDT-SWAP,ATR стоп 2.0N,0.0,0.2978,True,long,2026-03-22 00:19:57
cooldown после ATR-стопа ещё активен 1391s; цена отошла только на 0.00 ATR,True,XTZ-USDT-SWAP,ATR стоп 2.0N,0.0,0.395,True,long,2026-03-22 00:20:01
