atr,body_atr,body_to_range_ratio,breakout_buffer_atr_actual,breakout_level,channel_width_atr,close_beyond_channel_atr,distance_from_breakout_level_atr,donchian_high,donchian_low,entry_mode,entry_price,event,fresh_breakout_true_false,inst_id,side,system_name,timeframe,ts
9e-05,0.0,0.0,4.444444,0.2971,10.0,1.111111,4.444444,0.298,0.2971,minimal,0.2967,breakout_quality,True,LDO-USDT-SWAP,short,Turtle 20,5m,2026-03-21 22:41:07
2.85e-05,2.807018,1.0,2.807018,0.06141,16.491228,1.754386,2.807018,0.06188,0.06141,minimal,0.06133,breakout_quality,True,IOTA-USDT-SWAP,short,Turtle 55,5m,2026-03-21 23:10:34
0.000385,0.779221,1.0,0.519481,0.4672,19.74026,0.779221,0.519481,0.4748,0.4672,minimal,0.467,breakout_quality,True,MASK-USDT-SWAP,short,Turtle 55,5m,2026-03-21 23:10:37
0.000369,1.517615,1.0,0.840108,0.96029,6.070461,0.433604,-0.840108,0.96253,0.96029,minimal,0.9606,breakout_quality,True,SUI-USDT-SWAP,short,Turtle 20,5m,2026-03-21 23:10:40
0.000369,1.517615,1.0,0.885276,0.96029,6.070461,0.433604,-0.885276,0.96253,0.96029,minimal,0.96061667,breakout_quality,True,SUI-USDT-SWAP,short,Turtle 20,5m,2026-03-21 23:14:13
0.000145,1.37931,0.666667,2.386487,0.0844,4.827586,0.689655,2.386487,0.0844,0.0837,minimal,0.08474604,breakout_quality,True,CELO-USDT-SWAP,long,Turtle 20,5m,2026-03-21 23:15:28
0.00052,0.961538,1.0,0.870296,0.2244,5.384615,0.384615,0.870296,0.2244,0.2216,minimal,0.22485255,breakout_quality,True,BAND-USDT-SWAP,long,Turtle 55,5m,2026-03-21 23:26:00
0.12,1.25,1.0,0.467118,111.9,4.166667,0.333333,0.467118,111.9,111.4,minimal,111.95605416,breakout_quality,True,AAVE-USDT-SWAP,long,Turtle 20,5m,2026-03-21 23:26:03
0.0035,0.285714,1.0,2.502846,4.577,4.857143,0.285714,2.502846,4.577,4.56,minimal,4.58575996,breakout_quality,True,KSM-USDT-SWAP,long,Turtle 20,5m,2026-03-21 23:26:06
0.0068,1.911765,1.0,2.792188,9.502,4.705882,1.617647,2.792188,9.502,9.47,minimal,9.52098688,breakout_quality,True,AVAX-USDT-SWAP,long,Turtle 20,5m,2026-03-21 23:26:10
0.0865,1.271676,0.846154,0.578035,89.86,2.427746,0.578035,0.578035,89.86,89.65,minimal,89.91,breakout_quality,True,SOL-USDT-SWAP,long,Turtle 20,5m,2026-03-21 23:26:13
0.00014,2.142857,1.0,1.155582,0.2347,6.428571,1.428571,1.155582,0.2347,0.2338,minimal,0.23486178,breakout_quality,True,CRV-USDT-SWAP,long,Turtle 20,5m,2026-03-21 23:36:03
0.00014,2.142857,1.0,0.0,0.2347,6.428571,1.428571,0.0,0.2347,0.2338,minimal,0.2347,breakout_quality,True,CRV-USDT-SWAP,long,Turtle 20,5m,2026-03-21 23:38:49
0.000355,0.0,0.0,1.719752,0.396,6.478873,0.56338,1.719752,0.396,0.3937,minimal,0.39661051,breakout_quality,True,XTZ-USDT-SWAP,long,Turtle 20,5m,2026-03-21 23:40:09
8.8e-05,0.795455,1.0,0.1926,0.0641,4.318182,0.113636,-0.1926,0.0641,0.06372,minimal,0.06408305,breakout_quality,True,CFX-USDT-SWAP,long,Turtle 20,5m,2026-03-21 23:40:48
0.000355,0.0,0.0,0.983975,0.396,6.478873,0.56338,0.983975,0.396,0.3937,minimal,0.39634931,breakout_quality,True,XTZ-USDT-SWAP,long,Turtle 20,5m,2026-03-21 23:41:29
0.000355,0.0,0.0,0.87871,0.396,6.478873,0.56338,0.87871,0.396,0.3937,minimal,0.39631194,breakout_quality,True,XTZ-USDT-SWAP,long,Turtle 20,5m,2026-03-21 23:41:58
0.000355,0.0,0.0,0.825397,0.396,6.478873,0.56338,0.825397,0.396,0.3937,minimal,0.39629302,breakout_quality,True,XTZ-USDT-SWAP,long,Turtle 20,5m,2026-03-21 23:42:24
0.00283,0.0,0.0,0.572837,1.1949,17.491166,0.24735,0.572837,1.1949,1.1454,minimal,1.19652113,breakout_quality,True,AXS-USDT-SWAP,long,Turtle 20,5m,2026-03-21 23:45:14
0.0,0.779221,1.0,0.748928,3.43e-06,7.272727,0.25974,0.748928,3.43e-06,3.4e-06,minimal,3.43e-06,breakout_quality,True,PEPE-USDT-SWAP,long,Turtle 20,5m,2026-03-21 23:50:10
0.000135,0.740741,1.0,3.984802,0.2979,8.888889,2.222222,3.984802,0.2979,0.2967,minimal,0.29843795,breakout_quality,True,LDO-USDT-SWAP,long,Turtle 20,5m,2026-03-21 23:50:13
0.0025,1.6,1.0,0.676852,3.108,4.4,1.2,0.676852,3.108,3.097,minimal,3.10969213,breakout_quality,True,INJ-USDT-SWAP,long,Turtle 20,5m,2026-03-21 23:50:16
0.000135,0.740741,1.0,2.222222,0.2979,8.888889,2.222222,2.222222,0.2979,0.2967,minimal,0.2982,breakout_quality,True,LDO-USDT-SWAP,long,Turtle 20,5m,2026-03-21 23:51:52
0.1065,0.28169,1.0,0.280837,111.97,5.352113,0.187793,0.280837,111.97,111.4,minimal,111.99990913,breakout_quality,True,AAVE-USDT-SWAP,long,Turtle 20,5m,2026-03-21 23:55:45
0.00036,1.944444,1.0,0.194991,0.3968,10.555556,0.277778,-0.194991,0.3968,0.393,minimal,0.3967298,breakout_quality,True,XTZ-USDT-SWAP,long,Turtle 55,5m,2026-03-22 00:05:15
0.0009,1.666667,0.681818,1.696333,0.2896,6.444444,1.222222,1.696333,0.2896,0.2838,minimal,0.2911267,breakout_quality,True,LQTY-USDT-SWAP,long,Turtle 20,5m,2026-03-22 00:05:52
0.00036,1.944444,1.0,0.083599,0.3968,10.555556,0.277778,-0.083599,0.3968,0.393,minimal,0.3967699,breakout_quality,True,XTZ-USDT-SWAP,long,Turtle 55,5m,2026-03-22 00:06:32
