early_exit_flag,early_exit_gap_pct,inst_id,last_stop_move_reason,mae_pct,market_risk_score,mfe_pct,pnl_pct,side,stop_move_events,trade_id,unit_add_events
False,0.0,QTUM-USDT-SWAP,LOCAL_PROTECTIVE_EXIT_TRIGGERED,1.387359,78.25,0.0,-0.014674895683662622,long,0,20260317_031744_QTUM-USDT-SWAP_long,1
False,2.735567,ETHFI-USDT-SWAP,LOCAL_PROTECTIVE_EXIT_TRIGGERED,3.748728,1209.25,2.735567,-3.2083704379620306,short,0,20260317_031712_ETHFI-USDT-SWAP_short,0
False,2.735567,ETHFI-USDT-SWAP,LOCAL_PROTECTIVE_EXIT_TRIGGERED,3.748728,1209.25,2.735567,-3.262406234002842,short,0,20260317_031610_ETHFI-USDT-SWAP_short,0
False,0.0,QTUM-USDT-SWAP,LOCAL_PROTECTIVE_EXIT_TRIGGERED,1.329382,78.25,0.0,0.014712373105769862,long,0,20260317_031546_QTUM-USDT-SWAP_long,1
False,2.735567,ETHFI-USDT-SWAP,LOCAL_PROTECTIVE_EXIT_TRIGGERED,3.748728,1209.25,2.735567,-3.262406234002842,short,0,20260317_031503_ETHFI-USDT-SWAP_short,0
False,2.735567,ETHFI-USDT-SWAP,LOCAL_PROTECTIVE_EXIT_TRIGGERED,3.748728,1209.25,2.735567,-3.262406234002842,short,0,20260317_031406_ETHFI-USDT-SWAP_short,0
False,0.0,FIL-USDT-SWAP,LOCAL_PROTECTIVE_EXIT_TRIGGERED,3.160041,55.25,0.0,-0.8154943934760456,short,0,20260317_030602_FIL-USDT-SWAP_short,0
False,2.735567,ETHFI-USDT-SWAP,LOCAL_PROTECTIVE_EXIT_TRIGGERED,3.748728,1209.25,2.735567,-3.262406234002842,short,0,20260317_031316_ETHFI-USDT-SWAP_short,0
False,2.735567,ETHFI-USDT-SWAP,LOCAL_PROTECTIVE_EXIT_TRIGGERED,3.748728,1209.25,2.735567,-3.262406234002842,short,0,20260317_031227_ETHFI-USDT-SWAP_short,0
False,2.735567,ETHFI-USDT-SWAP,LOCAL_PROTECTIVE_EXIT_TRIGGERED,3.748728,1209.25,2.735567,-3.262406234002842,short,0,20260317_031137_ETHFI-USDT-SWAP_short,0
False,2.735567,ETHFI-USDT-SWAP,LOCAL_PROTECTIVE_EXIT_TRIGGERED,3.748728,1209.25,2.735567,-3.262406234002842,short,0,20260317_031048_ETHFI-USDT-SWAP_short,0
False,2.735567,ETHFI-USDT-SWAP,LOCAL_PROTECTIVE_EXIT_TRIGGERED,3.748728,1209.25,2.735567,-3.262406234002842,short,0,20260317_030955_ETHFI-USDT-SWAP_short,0
False,2.735567,ETHFI-USDT-SWAP,LOCAL_PROTECTIVE_EXIT_TRIGGERED,3.748728,1209.25,2.735567,-3.262406234002842,short,0,20260317_030907_ETHFI-USDT-SWAP_short,0
False,2.735567,ETHFI-USDT-SWAP,LOCAL_PROTECTIVE_EXIT_TRIGGERED,3.748728,1209.25,2.735567,-3.262406234002842,short,0,20260317_030812_ETHFI-USDT-SWAP_short,0
