duration_sec,early_exit_flag,early_exit_gap_pct,entry_quality,entry_type,exit_efficiency,exit_reason,inst_id,last_stop_move_reason,mae_pct,mae_r,market_risk_score,mfe_pct,mfe_r,pyramid_effect_label,pyramid_effect_score,realized_pnl,realized_pnl_pct,side,stop_efficiency,stop_errors_for_symbol,stop_move_count,stop_rejects_for_symbol,trade_id,trend_capture_ratio,trend_strength_r,unit_add_count,units
90,False,3.367652,strong,Turtle 20,0.0,локальный_защитный_выход_2.0n,AAVE-USDT-SWAP,LOCAL_PROTECTIVE_EXIT_TRIGGERED,3.501233,4.063946,34.25,3.367652,3.908896,no_pyramid,-1.194892,-11.95419999999995,-1.1948920966716854,short,-0.012889,7,0,8,20260317_102152_AAVE-USDT-SWAP_short,-0.354815,3.908896,0,1
411,False,30.141233,strong,Turtle 20,-1.666667,локальный_защитный_выход_2.0n,ETHFI-USDT-SWAP,LOCAL_PROTECTIVE_EXIT_TRIGGERED,1.636238,2.959502,1209.25,30.141233,54.517134,hurt,-0.043037,-1.6599999999998172,-0.08607333448096831,long,0.198286,268,0,269,20260317_101557_ETHFI-USDT-SWAP_long,-0.002856,54.517134,1,2
979,False,0.284992,normal,Turtle 20,0.619048,локальный_защитный_выход_2.0n,FIL-USDT-SWAP,LOCAL_PROTECTIVE_EXIT_TRIGGERED,1.447777,4.242424,55.25,0.620476,1.818182,helped,0.083871,14.020499999998936,0.3354838709677164,long,0.724413,12,1,12,20260317_100614_FIL-USDT-SWAP_long,0.540688,1.818182,3,4
112,False,0.059519,weak,Turtle 55,0.0,локальный_защитный_выход_2.0n,TRX-USDT-SWAP,missing_stop_recovery,0.511673,5.438776,68.75,0.059519,0.632653,hurt,-0.01376,-0.43000000000059657,-0.04127947162282048,long,-0.216131,16,0,14,20260317_100909_TRX-USDT-SWAP_long,-0.693551,0.632653,2,3
185,False,0.0,unknown,Turtle 55,0.0,локальный_защитный_выход_2.0n,TRX-USDT-SWAP,missing_stop_recovery,0.511596,5.437949,68.75,0.0,0.0,hurt,-0.047692,-4.575000000006527,-0.14307708618139667,long,0.2,16,0,14,20260317_100523_TRX-USDT-SWAP_long,0.0,0.0,2,3
886,False,2.462527,strong,Turtle 20,0.0,локальный_защитный_выход_2.0n,QTUM-USDT-SWAP,LOCAL_PROTECTIVE_EXIT_TRIGGERED,1.070664,3.125,78.25,2.462527,7.1875,no_pyramid,-1.070664,-11.219999999999885,-1.0706638115631582,short,0.13913,19,1,16,20260317_095048_QTUM-USDT-SWAP_short,-0.434783,7.1875,0,1
109,False,6.105169,weak,Turtle 20,-7.107143,локальный_защитный_выход_2.0n,IMX-USDT-SWAP,LOCAL_PROTECTIVE_EXIT_TRIGGERED,19.474153,1.645331,53.0,6.105169,0.515813,hurt,-4.235845,-188.93060000000185,-8.471690080885558,long,-0.632576,10,0,13,20260317_095913_IMX-USDT-SWAP_long,-1.387626,0.515813,1,2
153,True,3.578931,weak,Turtle 20,1.117717,локальный_защитный_выход_2.0n,ETHW-USDT-SWAP,unit_added,20.498542,1.669546,45.75,5.807478,0.473002,neutral,1.114274,23.858939999999876,2.228547285214575,long,0.430243,10,0,10,20260317_095605_ETHW-USDT-SWAP_long,0.383738,0.473002,1,2
638,False,33.495935,strong,Turtle 20,0.0,локальный_защитный_выход_2.0n,THETA-USDT-SWAP,initial_turtle_stop,0.921409,3.035714,19.0,33.495935,110.357143,no_pyramid,0.0,0.0,0.0,long,0.4,3,1,5,20260317_094442_THETA-USDT-SWAP_long,0.0,110.357143,0,1
638,False,1.913084,strong,Turtle 20,-1.701476,локальный_защитный_выход_2.0n,MINA-USDT-SWAP,LOCAL_PROTECTIVE_EXIT_TRIGGERED,0.761498,1.454822,65.5,1.913084,3.654896,no_pyramid,-0.072342,-0.7594200000027491,-0.07234211734435433,long,0.377312,12,1,16,20260317_094438_MINA-USDT-SWAP_long,-0.037814,3.654896,0,1
