block_reason,cooldown_blocked,inst_id,last_exit_reason,last_trade_pnl,price,recovery_blocked,side,ts
cooldown после ATR-стопа ещё активен 1785s; цена отошла только на 0.00 ATR,True,THETA-USDT-SWAP,Ошибка: первичный стоп не подтверждён на бирже,0.0,0.1701,True,long,2026-03-21 17:40:53
cooldown после ATR-стопа ещё активен 1754s; цена отошла только на 0.00 ATR,True,THETA-USDT-SWAP,Ошибка: первичный стоп не подтверждён на бирже,0.0,0.1701,True,long,2026-03-21 17:41:25
cooldown после ATR-стопа ещё активен 1734s; цена отошла только на 0.00 ATR,True,THETA-USDT-SWAP,Ошибка: первичный стоп не подтверждён на бирже,0.0,0.1701,True,long,2026-03-21 17:41:45
cooldown после ATR-стопа ещё активен 1712s; цена отошла только на 0.00 ATR,True,THETA-USDT-SWAP,Ошибка: первичный стоп не подтверждён на бирже,0.0,0.1701,True,long,2026-03-21 17:42:07
cooldown после ATR-стопа ещё активен 1668s; цена отошла только на 0.00 ATR,True,THETA-USDT-SWAP,Ошибка: первичный стоп не подтверждён на бирже,0.0,0.1701,True,long,2026-03-21 17:42:50
cooldown после ATR-стопа ещё активен 1644s; цена отошла только на 0.00 ATR,True,THETA-USDT-SWAP,Ошибка: первичный стоп не подтверждён на бирже,0.0,0.1701,True,long,2026-03-21 17:43:14
cooldown после ATR-стопа ещё активен 1612s; цена отошла только на 0.00 ATR,True,THETA-USDT-SWAP,Ошибка: первичный стоп не подтверждён на бирже,0.0,0.1701,True,long,2026-03-21 17:43:47
cooldown после ATR-стопа ещё активен 1585s; цена отошла только на 0.00 ATR,True,THETA-USDT-SWAP,Ошибка: первичный стоп не подтверждён на бирже,0.0,0.1701,True,long,2026-03-21 17:44:13
cooldown после ATR-стопа ещё активен 1562s; цена отошла только на 0.00 ATR,True,THETA-USDT-SWAP,Ошибка: первичный стоп не подтверждён на бирже,0.0,0.1701,True,long,2026-03-21 17:44:37
cooldown после ATR-стопа ещё активен 1767s; цена отошла только на 0.54 ATR,True,LQTY-USDT-SWAP,ATR стоп 2.0N,0.0,0.2791,True,long,2026-03-21 17:49:59
cooldown после ATR-стопа ещё активен 1715s; цена отошла только на 0.00 ATR,True,LQTY-USDT-SWAP,ATR стоп 2.0N,0.0,0.2789,True,long,2026-03-21 17:50:51
cooldown после ATR-стопа ещё активен 1675s; цена отошла только на 0.00 ATR,True,LQTY-USDT-SWAP,ATR стоп 2.0N,0.0,0.2789,True,long,2026-03-21 17:51:31
cooldown после ATR-стопа ещё активен 1635s; цена отошла только на 0.00 ATR,True,LQTY-USDT-SWAP,ATR стоп 2.0N,0.0,0.2789,True,long,2026-03-21 17:52:12
cooldown после ATR-стопа ещё активен 1596s; цена отошла только на 0.00 ATR,True,LQTY-USDT-SWAP,ATR стоп 2.0N,0.0,0.2789,True,long,2026-03-21 17:52:50
cooldown после ATR-стопа ещё активен 1553s; цена отошла только на 0.00 ATR,True,LQTY-USDT-SWAP,ATR стоп 2.0N,0.0,0.2789,True,long,2026-03-21 17:53:33
cooldown после ATR-стопа ещё активен 1514s; цена отошла только на 0.00 ATR,True,LQTY-USDT-SWAP,ATR стоп 2.0N,0.0,0.2789,True,long,2026-03-21 17:54:12
cooldown после ATR-стопа ещё активен 1476s; цена отошла только на 0.00 ATR,True,LQTY-USDT-SWAP,ATR стоп 2.0N,0.0,0.2789,True,long,2026-03-21 17:54:50
cooldown после ATR-стопа ещё активен 1778s; цена отошла только на 0.00 ATR,True,1INCH-USDT-SWAP,ATR стоп 2.0N,0.0,0.0947,True,short,2026-03-21 17:56:10
cooldown после ATR-стопа ещё активен 1739s; цена отошла только на 0.00 ATR,True,1INCH-USDT-SWAP,ATR стоп 2.0N,0.0,0.0947,True,short,2026-03-21 17:56:50
