block_reason,breakout_id,channel_exit_level,close_reason_code,duration_sec,entry_atr,entry_context_file,entry_distance_atr,entry_px,exchange_stop_status,exit_px,final_stop_price,initial_stop_price,inst_id,mae_abs,mae_pct,mae_r,mfe_abs,mfe_pct,mfe_r,peak_price,peak_unrealized_pnl,planned_risk_pct,pnl,pnl_pct,position_health_state,position_notional_usdt,qty,reason,risk_amount_usdt,risk_per_contract,side,stop_confirmed,stop_state,system_name,time,trade_context_file,trade_id,trough_price,units
,,0.958,stopout_cooldown,543,0.0009004999999999985,D:\GIT\okx-trading-bot\v09x\094\094_3\logs\entry_context\20260321_173852_SUI-USDT-SWAP_long.json,0.0,0.9648954785954786,cancel_error,0.9625,0.9630944785954787,0.9630944785954787,SUI-USDT-SWAP,0.00689548,0.714635,3.828694,0.00177452,0.183908,0.985298,0.9648954785954786,0.0,1.0,-9.757200000000163,-0.24321057097054463,HEALTHY,4011.9338000000002,4158.0,ATR стоп 2.0N,700.1422282907135,0.001800999999999997,long,True,ACTIVE,Turtle 55,2026-03-21 17:47:56,D:\GIT\okx-trading-bot\v09x\094\094_3\logs\trade_context\20260321_174756_SUI-USDT-SWAP_long_trade.json,20260321_173852_SUI-USDT-SWAP_long,0.9625,2
,,0.1692,ошибка:_первичный_стоп_не_подтверждён_на_бирже,98,0.0001549999999999996,D:\GIT\okx-trading-bot\v09x\094\094_3\logs\entry_context\20260321_173901_THETA-USDT-SWAP_long.json,0.0,0.1698976683937824,cancelled,0.1701,0.1695876683937824,0.1695876683937824,THETA-USDT-SWAP,0.00119767,0.704935,3.863446,0.00650233,3.827205,20.975263,0.1698976683937824,0.0,1.0,2.3429999999998534,0.11909027836017583,HEALTHY,1967.415,1158.0,Ошибка: первичный стоп не подтверждён на бирже,700.0624385349553,0.0030999999999999917,long,True,ACTIVE,Turtle 20,2026-03-21 17:40:39,D:\GIT\okx-trading-bot\v09x\094\094_3\logs\trade_context\20260321_174039_THETA-USDT-SWAP_long_trade.json,20260321_173901_THETA-USDT-SWAP_long,0.1698976683937824,1
market_already_crossed_stop,,0.1691,ошибка:_первичный_стоп_не_подтверждён_на_бирже,65,0.0001549999999999996,D:\GIT\okx-trading-bot\v09x\094\094_3\logs\entry_context\20260321_173729_THETA-USDT-SWAP_long.json,2.210452176363185,0.1703426200873363,cancel_skipped,0.1694,0.1700326200873363,0.1700326200873363,THETA-USDT-SWAP,0.00164262,0.964304,5.298774,0.00605738,3.555998,19.539935,0.1703426200873363,0.0,1.0,-10.793000000000749,-0.5533671413842405,STOP_UNVERIFIED,1950.4230000000007,1145.0,Ошибка: первичный стоп не подтверждён на бирже,700.418071483851,0.0030999999999999917,long,False,ERROR,Turtle 20,2026-03-21 17:38:35,D:\GIT\okx-trading-bot\v09x\094\094_3\logs\trade_context\20260321_173835_THETA-USDT-SWAP_long_trade.json,20260321_173729_THETA-USDT-SWAP_long,0.1703426200873363,1
,,0.1691,ошибка:_первичный_стоп_не_подтверждён_на_бирже,93,0.0001549999999999996,D:\GIT\okx-trading-bot\v09x\094\094_3\logs\entry_context\20260321_173540_THETA-USDT-SWAP_long.json,0.8568548387096524,0.1701328125,cancel_error,0.1695,0.1698228125,0.1698228125,THETA-USDT-SWAP,0.00143281,0.842173,4.621976,0.00626719,3.683703,20.216734,0.1701328125,0.0,1.0,-7.2899999999999565,-0.3719520595123273,HEALTHY,1959.9299999999998,1152.0,Ошибка: первичный стоп не подтверждён на бирже,700.8666960692864,0.0030999999999999917,long,True,ACTIVE,Turtle 20,2026-03-21 17:37:13,D:\GIT\okx-trading-bot\v09x\094\094_3\logs\trade_context\20260321_173713_THETA-USDT-SWAP_long_trade.json,20260321_173540_THETA-USDT-SWAP_long,0.1701328125,1
,,3.079,ошибка:_первичный_стоп_не_подтверждён_на_бирже,71,0.003449999999999953,D:\GIT\okx-trading-bot\v09x\094\094_3\logs\entry_context\20260321_173530_INJ-USDT-SWAP_long.json,3.083820767855386,3.122639181649101,cancelled,3.119,3.115739181649101,3.115739181649101,INJ-USDT-SWAP,0.04763918,1.525606,6.904229,0.0,0.0,0.0,3.122639181649101,0.0,1.0,-2.3479999999998493,-0.11654185569973305,HEALTHY,2014.7268000000001,6452.0,Ошибка: первичный стоп не подтверждён на бирже,700.9480277016964,0.0006899999999999906,long,True,ACTIVE,Turtle 55,2026-03-21 17:36:41,D:\GIT\okx-trading-bot\v09x\094\094_3\logs\trade_context\20260321_173641_INJ-USDT-SWAP_long_trade.json,20260321_173529_INJ-USDT-SWAP_long,3.122639181649101,1
,,19.16,ошибка:_первичный_стоп_не_подтверждён_на_бирже,111,0.017499999999999894,D:\GIT\okx-trading-bot\v09x\094\094_3\logs\entry_context\20260321_171518_COMP-USDT-SWAP_long.json,1.1428571428571255,19.25,cancel_error,19.25,19.215,19.215,COMP-USDT-SWAP,0.12,0.623377,3.428571,0.01,0.051948,0.285714,19.25,0.0,1.0,0.0,0.0,HEALTHY,2039.73,1059.6,Ошибка: первичный стоп не подтверждён на бирже,701.3795210441726,0.003499999999999979,long,True,ACTIVE,Turtle 20,2026-03-21 17:17:09,D:\GIT\okx-trading-bot\v09x\094\094_3\logs\trade_context\20260321_171709_COMP-USDT-SWAP_long_trade.json,20260321_171518_COMP-USDT-SWAP_long,19.25,1
,,2.953e-05,ошибка:_первичный_стоп_не_подтверждён_на_бирже,70,3.4499999999999925e-08,D:\GIT\okx-trading-bot\v09x\094\094_3\logs\entry_context\20260321_171515_FLOKI-USDT-SWAP_long.json,2.8104988260870076,2.97669622095e-05,cancelled,2.977e-05,2.96979622095e-05,2.96979622095e-05,FLOKI-USDT-SWAP,2.4e-07,0.796058,3.434235,5e-08,0.178177,0.768664,2.97669622095e-05,0.0,1.0,0.20899998640006087,0.010205241900805675,HEALTHY,2047.9670000136,688.0,Ошибка: первичный стоп не подтверждён на бирже,701.407845505603,0.006899999999999985,long,True,ACTIVE,Turtle 20,2026-03-21 17:16:25,D:\GIT\okx-trading-bot\v09x\094\094_3\logs\trade_context\20260321_171625_FLOKI-USDT-SWAP_long_trade.json,20260321_171515_FLOKI-USDT-SWAP_long,2.97669622095e-05,1
,,0.4684,stopout_cooldown,239,0.0006499999999999923,D:\GIT\okx-trading-bot\v09x\094\094_3\logs\entry_context\20260321_171028_MASK-USDT-SWAP_long.json,0.0,0.4704,cancel_error,0.4688,0.4691,0.4691,MASK-USDT-SWAP,0.0026,0.552721,2.0,0.0193,4.102891,14.846154,0.4718,4.899999999997583,1.0,-18.97840000000234,-0.4388640039574702,HEALTHY,4322.295600000001,9184.0,ATR стоп 2.0N,701.4277554650112,0.0012999999999999845,long,True,ACTIVE,Turtle 20,2026-03-21 17:14:27,D:\GIT\okx-trading-bot\v09x\094\094_3\logs\trade_context\20260321_171427_MASK-USDT-SWAP_long_trade.json,20260321_171028_MASK-USDT-SWAP_long,0.4688,2
market_already_crossed_stop,,9.273,stopout_cooldown,1913,0.016800000000000016,D:\GIT\okx-trading-bot\v09x\094\094_3\logs\entry_context\20260321_164019_LINK-USDT-SWAP_short.json,0.4889584000065218,9.07578549887989,cancel_error,9.118,9.1075,9.10938549887989,LINK-USDT-SWAP,0.1972145,2.172974,5.869479,0.0007855,0.008655,0.023378,9.118,0.0,1.0,-9.798829999999997,-0.4651333058204194,STOP_UNVERIFIED,2106.67133,232.12,ATR стоп 2.0N,701.8703538049697,0.03360000000000003,short,False,ERROR,Turtle 55,2026-03-21 17:12:12,D:\GIT\okx-trading-bot\v09x\094\094_3\logs\trade_context\20260321_171212_LINK-USDT-SWAP_short_trade.json,20260321_164019_LINK-USDT-SWAP_short,9.075,1
,,0.896,ошибка:_первичный_стоп_не_подтверждён_на_бирже,68,0.0030000000000000027,D:\GIT\okx-trading-bot\v09x\094\094_3\logs\entry_context\20260321_171022_FIL-USDT-SWAP_long.json,1.1543730023660557,0.9214631190070982,cancelled,0.92,0.9154631190070982,0.9154631190070982,FIL-USDT-SWAP,0.02546312,2.763336,4.243853,0.0,0.0,0.0,0.9214631190070982,0.0,1.0,-3.5248000000001967,-0.15878215599933276,HEALTHY,2219.8968000000004,24091.0,Ошибка: первичный стоп не подтверждён на бирже,701.4734552849221,0.0006000000000000006,long,True,ACTIVE,Turtle 55,2026-03-21 17:11:31,D:\GIT\okx-trading-bot\v09x\094\094_3\logs\trade_context\20260321_171131_FIL-USDT-SWAP_long_trade.json,20260321_171021_FIL-USDT-SWAP_long,0.9214631190070982,1
market_already_crossed_stop,,2689.0,канальный_выход_10_свечей,1941,2.3399999999999634,D:\GIT\okx-trading-bot\v09x\094\094_3\logs\entry_context\20260321_162519_YFI-USDT-SWAP_short.json,2.109108416269812,2680.464686305929,cancel_error,2683.1,2680.58,2685.1446863059286,YFI-USDT-SWAP,79.03531369,2.948568,16.887888,10.46468631,0.390406,2.236044,2683.1,5.706400000000571,1.0,-21.10934000000024,-0.32429569579252726,STOP_UNVERIFIED,6515.638293333333,24339.0,Канальный выход 10 свечей,702.7165685603684,0.00046799999999999273,short,False,ERROR,Turtle 20,2026-03-21 16:57:40,D:\GIT\okx-trading-bot\v09x\094\094_3\logs\trade_context\20260321_165740_YFI-USDT-SWAP_short_trade.json,20260321_162518_YFI-USDT-SWAP_short,2672.6,3
market_already_crossed_stop,,2.967e-05,stopout_cooldown,568,3.1499999999999614e-08,D:\GIT\okx-trading-bot\v09x\094\094_3\logs\entry_context\20260321_164022_FLOKI-USDT-SWAP_short.json,0.6349206349206367,2.953e-05,cancel_error,2.96e-05,2.9593e-05,2.9593e-05,FLOKI-USDT-SWAP,1.7e-07,0.575686,2.698413,0.0,0.0,0.0,2.96e-05,0.0,1.0,-4.984000000000073,-0.23704707077548604,STOP_UNVERIFIED,2102.536,712.0,ATR стоп 2.0N,701.8538915002213,0.006299999999999923,short,False,ERROR,Turtle 55,2026-03-21 16:49:50,D:\GIT\okx-trading-bot\v09x\094\094_3\logs\trade_context\20260321_164950_FLOKI-USDT-SWAP_short_trade.json,20260321_164022_FLOKI-USDT-SWAP_short,2.953e-05,1
,,0.96155,stopout_cooldown,844,0.0005100000000000049,D:\GIT\okx-trading-bot\v09x\094\094_3\logs\entry_context\20260321_163532_SUI-USDT-SWAP_short.json,0.8879476420445256,0.9589371467025573,cancel_error,0.9592,0.959143,0.9599571467025573,SUI-USDT-SWAP,0.00314285,0.327743,3.081229,0.00093715,0.097728,0.918771,0.9592,1.5316500000000133,1.0,-3.2600399999987206,-0.07629655344422147,HEALTHY,4273.897680000001,4458.0,ATR стоп 2.0N,701.9398476810577,0.0010200000000000098,short,True,ACTIVE,Turtle 55,2026-03-21 16:49:36,D:\GIT\okx-trading-bot\v09x\094\094_3\logs\trade_context\20260321_164936_SUI-USDT-SWAP_short_trade.json,20260321_163531_SUI-USDT-SWAP_short,0.958,2
,,1.493,ошибка:_первичный_стоп_не_подтверждён_на_бирже,74,0.0013499999999999957,D:\GIT\okx-trading-bot\v09x\094\094_3\logs\entry_context\20260321_163535_DOT-USDT-SWAP_short.json,1.4814814814814874,1.487,cancelled,1.489,1.4897,1.4897,DOT-USDT-SWAP,0.007,0.470746,2.592593,0.002,0.134499,0.740741,1.487,0.0,1.0,-2.8536000000000024,-0.13449899125756568,HEALTHY,2121.6516,1426.8,Ошибка: первичный стоп не подтверждён на бирже,701.9903623162562,0.0026999999999999915,short,True,ACTIVE,Turtle 20,2026-03-21 16:36:49,D:\GIT\okx-trading-bot\v09x\094\094_3\logs\trade_context\20260321_163649_DOT-USDT-SWAP_short_trade.json,20260321_163535_DOT-USDT-SWAP_short,1.487,1
market_already_crossed_stop,,2.231,ошибка:_первичный_стоп_не_подтверждён_на_бирже,51,0.0011499999999999844,D:\GIT\okx-trading-bot\v09x\094\094_3\logs\entry_context\20260321_162719_LPT-USDT-SWAP_short.json,5.269386483961541,2.2139402055434445,cancel_skipped,2.217,2.2162402055434445,2.2162402055434445,LPT-USDT-SWAP,0.01705979,0.770563,7.417302,0.0,0.0,0.0,2.2139402055434445,0.0,1.0,-2.947499999999986,-0.13820583089345467,STOP_UNVERIFIED,2132.6886000000004,9633.0,Ошибка: первичный стоп не подтверждён на бирже,702.5369378780274,0.0002299999999999969,short,False,ERROR,Turtle 55,2026-03-21 16:28:10,D:\GIT\okx-trading-bot\v09x\094\094_3\logs\trade_context\20260321_162810_LPT-USDT-SWAP_short_trade.json,20260321_162719_LPT-USDT-SWAP_short,2.2139402055434445,1
,,2.231,ошибка:_первичный_стоп_не_подтверждён_на_бирже,38,0.0011499999999999844,D:\GIT\okx-trading-bot\v09x\094\094_3\logs\entry_context\20260321_162626_LPT-USDT-SWAP_short.json,4.322014394982352,2.2150296834457706,cancel_error,2.222,2.2173296834457705,2.2173296834457705,LPT-USDT-SWAP,0.01597032,0.720998,6.943616,0.0,0.0,0.0,2.2150296834457706,0.0,1.0,-6.715900000000044,-0.3146827605211219,HEALTHY,2134.1811,9635.0,Ошибка: первичный стоп не подтверждён на бирже,702.5661877340114,0.0002299999999999969,short,True,ACTIVE,Turtle 55,2026-03-21 16:27:04,D:\GIT\okx-trading-bot\v09x\094\094_3\logs\trade_context\20260321_162704_LPT-USDT-SWAP_short_trade.json,20260321_162625_LPT-USDT-SWAP_short,2.2150296834457706,1
market_already_crossed_stop,,2.231,ошибка:_первичный_стоп_не_подтверждён_на_бирже,51,0.0011499999999999844,D:\GIT\okx-trading-bot\v09x\094\094_3\logs\entry_context\20260321_162512_LPT-USDT-SWAP_short.json,5.186618015562487,2.2140353892821034,cancel_skipped,2.217,2.2163353892821034,2.2163353892821034,LPT-USDT-SWAP,0.01696461,0.76623,7.375918,0.0,0.0,0.0,2.2140353892821034,0.0,1.0,-2.931999999999802,-0.13390078280808035,STOP_UNVERIFIED,2189.681,9890.0,Ошибка: первичный стоп не подтверждён на бирже,702.7721146402492,0.0002299999999999969,short,False,ERROR,Turtle 55,2026-03-21 16:26:03,D:\GIT\okx-trading-bot\v09x\094\094_3\logs\trade_context\20260321_162603_LPT-USDT-SWAP_short_trade.json,20260321_162511_LPT-USDT-SWAP_short,2.2140353892821034,1
,,0.904,ошибка:_первичный_стоп_не_подтверждён_на_бирже,74,0.0014500000000000012,D:\GIT\okx-trading-bot\v09x\094\094_3\logs\entry_context\20260321_161529_FIL-USDT-SWAP_long.json,1.9759237846619049,0.9148650894877598,cancelled,0.913,0.9119650894877598,0.9119650894877598,FIL-USDT-SWAP,0.01686509,1.843451,5.815548,0.0,0.0,0.0,0.9148650894877598,0.0,1.0,-4.533100000000105,-0.20386497519585553,HEALTHY,2223.5796000000005,24305.0,Ошибка: первичный стоп не подтверждён на бирже,702.8413038088254,0.00029000000000000027,long,True,ACTIVE,Turtle 55,2026-03-21 16:16:43,D:\GIT\okx-trading-bot\v09x\094\094_3\logs\trade_context\20260321_161643_FIL-USDT-SWAP_long_trade.json,20260321_161529_FIL-USDT-SWAP_long,0.9148650894877598,1
,,4.783,ошибка:_первичный_стоп_не_подтверждён_на_бирже,65,0.003849999999999998,D:\GIT\okx-trading-bot\v09x\094\094_3\logs\entry_context\20260321_151518_AUCTION-USDT-SWAP_long.json,0.5140748349130156,4.797979188114415,cancel_error,4.792,4.7902791881144156,4.7902791881144156,AUCTION-USDT-SWAP,0.01597919,0.33304,2.075219,0.03402081,0.709065,4.418287,4.798,0.0,1.0,-5.9303500000004465,-0.12475103566226707,HEALTHY,4753.744965,9907.8,Ошибка: первичный стоп не подтверждён на бирже,703.4677596047151,0.0007699999999999996,long,True,ACTIVE,Turtle 20,2026-03-21 15:16:23,D:\GIT\okx-trading-bot\v09x\094\094_3\logs\trade_context\20260321_151623_AUCTION-USDT-SWAP_long_trade.json,20260321_151517_AUCTION-USDT-SWAP_long,4.797979188114415,2
