2026-03-25 19:35:11,346 | INFO | root | okx_gateway:place_exchange_stop:370 | Placing exchange stop FIL-USDT-SWAP long payload={'instId': 'FIL-USDT-SWAP', 'tdMode': 'isolated', 'side': 'sell', 'posSide': 'net', 'ordType': 'conditional', 'reduceOnly': 'true', 'closeFraction': '1', 'algoClOrdId': 'SLUSDTSWAP456511346', 'slTriggerPx': '0.932', 'slTriggerPxType': 'mark', 'slOrdPx': '-1'}
2026-03-25 19:35:12,065 | INFO | root | okx_gateway:place_exchange_stop:370 | Placing exchange stop FIL-USDT-SWAP long payload={'instId': 'FIL-USDT-SWAP', 'tdMode': 'isolated', 'side': 'sell', 'posSide': 'net', 'ordType': 'conditional', 'reduceOnly': 'true', 'closeFraction': '1', 'algoClOrdId': 'SLUSDTSWAP456512065', 'slTriggerPx': '0.932', 'slTriggerPxType': 'mark', 'slOrdPx': '-1'}
2026-03-25 19:35:15,555 | INFO | root | okx_gateway:place_market_order:486 | Placing order IMX-USDT-SWAP buy qty=18358.0
2026-03-25 19:36:34,604 | INFO | root | okx_gateway:place_exchange_stop:370 | Placing exchange stop AAVE-USDT-SWAP long payload={'instId': 'AAVE-USDT-SWAP', 'tdMode': 'isolated', 'side': 'sell', 'posSide': 'net', 'ordType': 'conditional', 'reduceOnly': 'true', 'closeFraction': '1', 'algoClOrdId': 'SLUSDTSWAP456594604', 'slTriggerPx': '114.64', 'slTriggerPxType': 'mark', 'slOrdPx': '-1'}
2026-03-25 19:36:35,362 | INFO | root | okx_gateway:place_exchange_stop:370 | Placing exchange stop AAVE-USDT-SWAP long payload={'instId': 'AAVE-USDT-SWAP', 'tdMode': 'isolated', 'side': 'sell', 'posSide': 'net', 'ordType': 'conditional', 'reduceOnly': 'true', 'closeFraction': '1', 'algoClOrdId': 'SLUSDTSWAP456595362', 'slTriggerPx': '114.64', 'slTriggerPxType': 'mark', 'slOrdPx': '-1'}
2026-03-25 19:36:42,673 | INFO | root | okx_gateway:place_exchange_stop:370 | Placing exchange stop AAVE-USDT-SWAP long payload={'instId': 'AAVE-USDT-SWAP', 'tdMode': 'isolated', 'side': 'sell', 'posSide': 'net', 'ordType': 'conditional', 'reduceOnly': 'true', 'closeFraction': '1', 'algoClOrdId': 'SLUSDTSWAP456602673', 'slTriggerPx': '114.64', 'slTriggerPxType': 'mark', 'slOrdPx': '-1'}
2026-03-25 19:36:43,392 | INFO | root | okx_gateway:place_exchange_stop:370 | Placing exchange stop AAVE-USDT-SWAP long payload={'instId': 'AAVE-USDT-SWAP', 'tdMode': 'isolated', 'side': 'sell', 'posSide': 'net', 'ordType': 'conditional', 'reduceOnly': 'true', 'closeFraction': '1', 'algoClOrdId': 'SLUSDTSWAP456603392', 'slTriggerPx': '114.64', 'slTriggerPxType': 'mark', 'slOrdPx': '-1'}
2026-03-25 19:36:59,786 | INFO | root | okx_gateway:place_exchange_stop:370 | Placing exchange stop AAVE-USDT-SWAP long payload={'instId': 'AAVE-USDT-SWAP', 'tdMode': 'isolated', 'side': 'sell', 'posSide': 'net', 'ordType': 'conditional', 'reduceOnly': 'true', 'closeFraction': '1', 'algoClOrdId': 'SLUSDTSWAP456619786', 'slTriggerPx': '114.64', 'slTriggerPxType': 'mark', 'slOrdPx': '-1'}
2026-03-25 19:37:00,517 | INFO | root | okx_gateway:place_exchange_stop:370 | Placing exchange stop AAVE-USDT-SWAP long payload={'instId': 'AAVE-USDT-SWAP', 'tdMode': 'isolated', 'side': 'sell', 'posSide': 'net', 'ordType': 'conditional', 'reduceOnly': 'true', 'closeFraction': '1', 'algoClOrdId': 'SLUSDTSWAP456620517', 'slTriggerPx': '114.64', 'slTriggerPxType': 'mark', 'slOrdPx': '-1'}
2026-03-25 19:39:33,336 | INFO | root | okx_gateway:place_market_order:486 | Placing order ASTER-USDT-SWAP buy qty=4070.0
