2026-03-25 19:12:24,833 | INFO | httpx | _client:_send_single_request:1025 | HTTP Request: GET https://www.okx.com/api/v5/market/candles?instId=2Z-USDT-SWAP&bar=15m&limit=121 "HTTP/2 200 OK"
2026-03-25 19:12:24,850 | INFO | httpx | _client:_send_single_request:1025 | HTTP Request: GET https://www.okx.com/api/v5/market/ticker?instId=AUCTION-USDT-SWAP "HTTP/2 200 OK"
2026-03-25 19:12:25,113 | INFO | httpx | _client:_send_single_request:1025 | HTTP Request: GET https://www.okx.com/api/v5/market/candles?instId=2Z-USDT-SWAP&bar=5m&limit=97 "HTTP/2 200 OK"
2026-03-25 19:12:25,180 | INFO | httpx | _client:_send_single_request:1025 | HTTP Request: GET https://www.okx.com/api/v5/market/candles?instId=AUCTION-USDT-SWAP&bar=5m&limit=89 "HTTP/2 200 OK"
2026-03-25 19:12:25,429 | INFO | httpx | _client:_send_single_request:1025 | HTTP Request: GET https://www.okx.com/api/v5/market/history-trades?instId=2Z-USDT-SWAP&limit=100 "HTTP/2 200 OK"
2026-03-25 19:12:25,629 | INFO | httpx | _client:_send_single_request:1025 | HTTP Request: GET https://www.okx.com/api/v5/market/ticker?instId=AVAX-USDT-SWAP "HTTP/2 200 OK"
2026-03-25 19:12:25,745 | INFO | httpx | _client:_send_single_request:1025 | HTTP Request: GET https://www.okx.com/api/v5/market/candles?instId=A-USDT-SWAP&bar=15m&limit=121 "HTTP/2 200 OK"
2026-03-25 19:12:25,947 | INFO | httpx | _client:_send_single_request:1025 | HTTP Request: GET https://www.okx.com/api/v5/market/candles?instId=AVAX-USDT-SWAP&bar=5m&limit=89 "HTTP/2 200 OK"
2026-03-25 19:12:26,039 | INFO | httpx | _client:_send_single_request:1025 | HTTP Request: GET https://www.okx.com/api/v5/market/candles?instId=A-USDT-SWAP&bar=5m&limit=97 "HTTP/2 200 OK"
2026-03-25 19:12:26,310 | INFO | httpx | _client:_send_single_request:1025 | HTTP Request: GET https://www.okx.com/api/v5/market/history-trades?instId=A-USDT-SWAP&limit=100 "HTTP/2 200 OK"
2026-03-25 19:12:26,380 | INFO | httpx | _client:_send_single_request:1025 | HTTP Request: GET https://www.okx.com/api/v5/market/ticker?instId=AXS-USDT-SWAP "HTTP/2 200 OK"
2026-03-25 19:12:26,691 | INFO | httpx | _client:_send_single_request:1025 | HTTP Request: GET https://www.okx.com/api/v5/market/candles?instId=AXS-USDT-SWAP&bar=5m&limit=89 "HTTP/2 200 OK"
2026-03-25 19:12:26,710 | INFO | httpx | _client:_send_single_request:1025 | HTTP Request: GET https://www.okx.com/api/v5/market/books?instId=A-USDT-SWAP&sz=5 "HTTP/2 200 OK"
2026-03-25 19:12:27,080 | INFO | httpx | _client:_send_single_request:1025 | HTTP Request: GET https://www.okx.com/api/v5/market/candles?instId=AAVE-USDT-SWAP&bar=15m&limit=121 "HTTP/2 200 OK"
2026-03-25 19:12:27,124 | INFO | httpx | _client:_send_single_request:1025 | HTTP Request: GET https://www.okx.com/api/v5/market/ticker?instId=BAND-USDT-SWAP "HTTP/2 200 OK"
2026-03-25 19:12:27,348 | INFO | httpx | _client:_send_single_request:1025 | HTTP Request: GET https://www.okx.com/api/v5/market/candles?instId=AAVE-USDT-SWAP&bar=5m&limit=97 "HTTP/2 200 OK"
2026-03-25 19:12:27,422 | INFO | httpx | _client:_send_single_request:1025 | HTTP Request: GET https://www.okx.com/api/v5/market/candles?instId=BAND-USDT-SWAP&bar=5m&limit=89 "HTTP/2 200 OK"
2026-03-25 19:12:27,608 | INFO | httpx | _client:_send_single_request:1025 | HTTP Request: GET https://www.okx.com/api/v5/market/history-trades?instId=AAVE-USDT-SWAP&limit=100 "HTTP/2 200 OK"
2026-03-25 19:12:27,881 | INFO | httpx | _client:_send_single_request:1025 | HTTP Request: GET https://www.okx.com/api/v5/market/ticker?instId=BCH-USDT-SWAP "HTTP/2 200 OK"
2026-03-25 19:12:28,029 | INFO | httpx | _client:_send_single_request:1025 | HTTP Request: GET https://www.okx.com/api/v5/market/candles?instId=ACT-USDT-SWAP&bar=15m&limit=121 "HTTP/2 200 OK"
2026-03-25 19:12:28,118 | INFO | httpx | _client:_send_single_request:1025 | HTTP Request: GET https://www.okx.com/api/v5/market/candles?instId=BCH-USDT-SWAP&bar=5m&limit=89 "HTTP/2 200 OK"
2026-03-25 19:12:28,364 | INFO | httpx | _client:_send_single_request:1025 | HTTP Request: GET https://www.okx.com/api/v5/market/candles?instId=ACT-USDT-SWAP&bar=5m&limit=97 "HTTP/2 200 OK"
2026-03-25 19:12:28,569 | INFO | httpx | _client:_send_single_request:1025 | HTTP Request: GET https://www.okx.com/api/v5/market/ticker?instId=BIO-USDT-SWAP "HTTP/2 200 OK"
2026-03-25 19:12:28,621 | INFO | httpx | _client:_send_single_request:1025 | HTTP Request: GET https://www.okx.com/api/v5/market/history-trades?instId=ACT-USDT-SWAP&limit=100 "HTTP/2 200 OK"
2026-03-25 19:12:28,803 | INFO | httpx | _client:_send_single_request:1025 | HTTP Request: GET https://www.okx.com/api/v5/market/candles?instId=BIO-USDT-SWAP&bar=5m&limit=89 "HTTP/2 200 OK"
2026-03-25 19:12:28,960 | INFO | httpx | _client:_send_single_request:1025 | HTTP Request: GET https://www.okx.com/api/v5/market/books?instId=ACT-USDT-SWAP&sz=5 "HTTP/2 200 OK"
2026-03-25 19:12:29,243 | INFO | httpx | _client:_send_single_request:1025 | HTTP Request: GET https://www.okx.com/api/v5/market/ticker?instId=BLUAI-USDT-SWAP "HTTP/2 200 OK"
