available_after_bans,cache_errors,cache_fetch_count,closed_trades,connectivity_components_down,connectivity_state,event,loop_duration_sec,open_positions,signals_blocked,signals_found,symbols_scanned,ts
111,2,2662,1,[],CONNECTED,SYSTEM_HEALTH,172.6618480682373,3,0,2,112,2026-03-22 20:14:01
110,2,2845,1,[],CONNECTED,SYSTEM_HEALTH,267.5419063568115,1,0,2,112,2026-03-22 20:15:07
110,2,3024,1,[],CONNECTED,SYSTEM_HEALTH,9.423991441726685,0,0,0,112,2026-03-22 20:16:13
110,2,3175,1,[],CONNECTED,SYSTEM_HEALTH,8.134288787841797,0,0,0,112,2026-03-22 20:17:00
110,3,3335,1,[],CONNECTED,SYSTEM_HEALTH,8.38308048248291,0,0,0,112,2026-03-22 20:18:10
110,3,3484,1,[],CONNECTED,SYSTEM_HEALTH,4.8340935707092285,0,0,0,112,2026-03-22 20:19:07
110,3,3484,1,[],CONNECTED,SYSTEM_HEALTH,5.9382851123809814,1,0,1,112,2026-03-22 20:20:09
110,3,3641,1,[],CONNECTED,SYSTEM_HEALTH,10.185866594314575,1,0,0,112,2026-03-22 20:21:01
110,3,3792,1,[],CONNECTED,SYSTEM_HEALTH,6.203906774520874,1,0,0,112,2026-03-22 20:22:02
110,3,3943,1,[],CONNECTED,SYSTEM_HEALTH,7.656280994415283,1,0,0,112,2026-03-22 20:23:07
110,3,4100,1,[],CONNECTED,SYSTEM_HEALTH,5.823709964752197,1,0,0,112,2026-03-22 20:24:02
110,3,4254,1,[],CONNECTED,SYSTEM_HEALTH,10.848654985427856,1,0,0,112,2026-03-22 20:25:04
110,3,4407,1,[],CONNECTED,SYSTEM_HEALTH,29.136061668395996,4,0,0,112,2026-03-22 20:26:06
110,3,4559,1,[],CONNECTED,SYSTEM_HEALTH,20.16274404525757,4,0,0,112,2026-03-22 20:27:05
110,3,4708,1,[],CONNECTED,SYSTEM_HEALTH,3.859520196914673,4,0,0,112,2026-03-22 20:28:00
110,3,4866,1,[],CONNECTED,SYSTEM_HEALTH,11.256078004837036,4,0,0,112,2026-03-22 20:29:01
110,4,5012,1,[],CONNECTED,SYSTEM_HEALTH,13.564449310302734,4,0,0,112,2026-03-22 20:30:01
110,5,5167,1,[],CONNECTED,SYSTEM_HEALTH,14.029563665390015,4,0,0,112,2026-03-22 20:31:03
110,5,5319,1,[],CONNECTED,SYSTEM_HEALTH,17.45467472076416,3,0,0,112,2026-03-22 20:32:12
110,5,5319,1,[],CONNECTED,SYSTEM_HEALTH,3.1737163066864014,3,0,0,112,2026-03-22 20:33:01
110,5,5623,1,[],CONNECTED,SYSTEM_HEALTH,3.529142379760742,3,0,0,112,2026-03-22 20:34:08
110,5,5623,1,[],CONNECTED,SYSTEM_HEALTH,13.093579053878784,3,0,0,112,2026-03-22 20:35:00
109,5,5778,1,[],CONNECTED,SYSTEM_HEALTH,50.97374367713928,3,0,1,112,2026-03-22 20:36:04
109,5,5932,1,[],CONNECTED,SYSTEM_HEALTH,5.89895224571228,3,0,0,112,2026-03-22 20:37:08
109,5,6080,1,[],CONNECTED,SYSTEM_HEALTH,11.481310844421387,3,0,0,112,2026-03-22 20:38:03
109,6,6228,1,[],CONNECTED,SYSTEM_HEALTH,13.658328294754028,3,0,0,112,2026-03-22 20:39:04
109,6,6381,1,[],CONNECTED,SYSTEM_HEALTH,12.326298952102661,3,0,0,112,2026-03-22 20:40:06
108,6,6531,2,[],CONNECTED,SYSTEM_HEALTH,5.495867490768433,2,0,0,112,2026-03-22 20:41:00
108,6,6679,2,[],CONNECTED,SYSTEM_HEALTH,15.832743167877197,2,0,0,112,2026-03-22 20:42:08
108,6,6827,2,[],CONNECTED,SYSTEM_HEALTH,16.33977723121643,2,0,0,112,2026-03-22 20:43:05
108,6,6975,2,[],CONNECTED,SYSTEM_HEALTH,2.8870608806610107,2,0,0,112,2026-03-22 20:44:07
108,6,7120,2,[],CONNECTED,SYSTEM_HEALTH,2.564525842666626,2,0,0,112,2026-03-22 20:45:03
108,6,7270,2,[],CONNECTED,SYSTEM_HEALTH,2.1348717212677,2,0,0,112,2026-03-22 20:46:10
108,6,7422,2,[],CONNECTED,SYSTEM_HEALTH,4.248834609985352,2,0,0,112,2026-03-22 20:47:04
108,6,7574,2,[],CONNECTED,SYSTEM_HEALTH,1.9468169212341309,2,0,0,112,2026-03-22 20:48:06
108,6,7574,2,[],CONNECTED,SYSTEM_HEALTH,4.650080680847168,2,0,0,112,2026-03-22 20:49:01
108,7,7877,2,[],CONNECTED,SYSTEM_HEALTH,4.971333265304565,2,0,0,112,2026-03-22 20:50:23
108,7,7877,2,[],CONNECTED,SYSTEM_HEALTH,20.07629156112671,2,0,0,112,2026-03-22 20:51:13
108,7,8029,2,[],CONNECTED,SYSTEM_HEALTH,18.01646590232849,2,0,0,112,2026-03-22 20:52:00
108,7,8185,2,[],CONNECTED,SYSTEM_HEALTH,19.710589170455933,2,0,0,112,2026-03-22 20:53:13
108,7,8185,2,[],CONNECTED,SYSTEM_HEALTH,18.334546327590942,2,0,0,112,2026-03-22 20:54:00
108,7,8337,2,[],CONNECTED,SYSTEM_HEALTH,19.31011986732483,2,0,0,112,2026-03-22 20:55:14
108,7,8489,2,[],CONNECTED,SYSTEM_HEALTH,17.193822145462036,2,0,0,112,2026-03-22 20:56:02
108,7,8647,2,[],CONNECTED,SYSTEM_HEALTH,19.53568744659424,2,0,0,112,2026-03-22 20:57:12
108,7,8647,2,[],CONNECTED,SYSTEM_HEALTH,19.301069021224976,2,0,0,112,2026-03-22 20:58:01
108,7,8800,2,[],CONNECTED,SYSTEM_HEALTH,21.204750061035156,2,0,0,112,2026-03-22 20:59:15
108,7,8955,2,[],CONNECTED,SYSTEM_HEALTH,8.937814235687256,2,0,0,112,2026-03-22 21:00:09
108,7,9112,2,[],CONNECTED,SYSTEM_HEALTH,21.355123281478882,2,0,0,112,2026-03-22 21:01:00
108,7,9112,2,[],CONNECTED,SYSTEM_HEALTH,20.125569343566895,2,0,0,112,2026-03-22 21:02:13
108,7,9268,2,[],CONNECTED,SYSTEM_HEALTH,18.157028198242188,2,0,0,112,2026-03-22 21:03:02
108,7,9419,2,[],CONNECTED,SYSTEM_HEALTH,18.265033960342407,2,0,0,112,2026-03-22 21:04:15
108,7,9570,2,[],CONNECTED,SYSTEM_HEALTH,20.08565640449524,2,0,0,112,2026-03-22 21:05:02
108,7,9717,2,[],CONNECTED,SYSTEM_HEALTH,16.22580337524414,11,0,11,112,2026-03-22 21:06:10
108,7,9901,2,[],CONNECTED,SYSTEM_HEALTH,16.22580337524414,11,0,11,112,2026-03-22 21:08:36
108,7,10276,2,[],CONNECTED,SYSTEM_HEALTH,16.22580337524414,11,0,11,112,2026-03-22 21:10:45
108,7,10276,3,[],CONNECTED,SYSTEM_HEALTH,16.22580337524414,10,0,11,112,2026-03-22 21:11:40
108,7,10276,3,[],CONNECTED,SYSTEM_HEALTH,392.3401708602905,7,0,0,112,2026-03-22 21:12:00
108,7,10623,3,[],CONNECTED,SYSTEM_HEALTH,392.3401708602905,7,0,0,112,2026-03-22 21:14:15
108,8,10975,3,[],CONNECTED,SYSTEM_HEALTH,152.80455446243286,7,0,0,112,2026-03-22 21:16:24
108,8,10975,3,[],CONNECTED,SYSTEM_HEALTH,133.7525029182434,7,0,0,112,2026-03-22 21:17:02
108,9,11152,3,[],CONNECTED,SYSTEM_HEALTH,133.7525029182434,7,0,0,112,2026-03-22 21:18:33
