2026-03-25 18:47:52,487 | INFO | httpx | _client:_send_single_request:1025 | HTTP Request: GET https://www.okx.com/api/v5/market/ticker?instId=BRETT-USDT-SWAP "HTTP/2 200 OK"
2026-03-25 18:47:52,603 | INFO | httpx | _client:_send_single_request:1025 | HTTP Request: GET https://www.okx.com/api/v5/market/books?instId=ALGO-USDT-SWAP&sz=5 "HTTP/2 200 OK"
2026-03-25 18:47:52,870 | INFO | httpx | _client:_send_single_request:1025 | HTTP Request: GET https://www.okx.com/api/v5/market/candles?instId=BRETT-USDT-SWAP&bar=5m&limit=89 "HTTP/2 200 OK"
2026-03-25 18:47:52,968 | INFO | httpx | _client:_send_single_request:1025 | HTTP Request: GET https://www.okx.com/api/v5/market/candles?instId=ARB-USDT-SWAP&bar=15m&limit=121 "HTTP/2 200 OK"
2026-03-25 18:47:53,405 | INFO | httpx | _client:_send_single_request:1025 | HTTP Request: GET https://www.okx.com/api/v5/market/candles?instId=ARB-USDT-SWAP&bar=5m&limit=97 "HTTP/2 200 OK"
2026-03-25 18:47:53,474 | INFO | httpx | _client:_send_single_request:1025 | HTTP Request: GET https://www.okx.com/api/v5/market/ticker?instId=BTC-USDT-SWAP "HTTP/2 200 OK"
2026-03-25 18:47:53,800 | INFO | httpx | _client:_send_single_request:1025 | HTTP Request: GET https://www.okx.com/api/v5/market/history-trades?instId=ARB-USDT-SWAP&limit=100 "HTTP/2 200 OK"
2026-03-25 18:47:54,020 | INFO | httpx | _client:_send_single_request:1025 | HTTP Request: GET https://www.okx.com/api/v5/market/ticker?instId=CAT-USDT-SWAP "HTTP/2 200 OK"
2026-03-25 18:47:54,129 | INFO | httpx | _client:_send_single_request:1025 | HTTP Request: GET https://www.okx.com/api/v5/market/candles?instId=BTC-USDT-SWAP&bar=5m&limit=64 "HTTP/2 200 OK"
2026-03-25 18:47:54,216 | INFO | httpx | _client:_send_single_request:1025 | HTTP Request: GET https://www.okx.com/api/v5/market/books?instId=ARB-USDT-SWAP&sz=5 "HTTP/2 200 OK"
2026-03-25 18:47:54,395 | INFO | httpx | _client:_send_single_request:1025 | HTTP Request: GET https://www.okx.com/api/v5/market/candles?instId=CAT-USDT-SWAP&bar=5m&limit=89 "HTTP/2 200 OK"
2026-03-25 18:47:54,613 | INFO | httpx | _client:_send_single_request:1025 | HTTP Request: GET https://www.okx.com/api/v5/market/candles?instId=ASP-USDT-SWAP&bar=15m&limit=121 "HTTP/2 200 OK"
2026-03-25 18:47:54,971 | INFO | httpx | _client:_send_single_request:1025 | HTTP Request: GET https://www.okx.com/api/v5/market/ticker?instId=CATI-USDT-SWAP "HTTP/2 200 OK"
2026-03-25 18:47:55,003 | INFO | httpx | _client:_send_single_request:1025 | HTTP Request: GET https://www.okx.com/api/v5/market/candles?instId=ASP-USDT-SWAP&bar=5m&limit=97 "HTTP/2 200 OK"
2026-03-25 18:47:55,382 | INFO | httpx | _client:_send_single_request:1025 | HTTP Request: GET https://www.okx.com/api/v5/market/history-trades?instId=ASP-USDT-SWAP&limit=100 "HTTP/2 200 OK"
2026-03-25 18:47:55,401 | INFO | httpx | _client:_send_single_request:1025 | HTTP Request: GET https://www.okx.com/api/v5/market/candles?instId=CATI-USDT-SWAP&bar=5m&limit=89 "HTTP/2 200 OK"
2026-03-25 18:47:55,829 | INFO | httpx | _client:_send_single_request:1025 | HTTP Request: GET https://www.okx.com/api/v5/market/books?instId=ASP-USDT-SWAP&sz=5 "HTTP/2 200 OK"
2026-03-25 18:47:55,951 | INFO | httpx | _client:_send_single_request:1025 | HTTP Request: GET https://www.okx.com/api/v5/market/ticker?instId=CELO-USDT-SWAP "HTTP/2 200 OK"
2026-03-25 18:47:56,203 | INFO | httpx | _client:_send_single_request:1025 | HTTP Request: GET https://www.okx.com/api/v5/market/candles?instId=ASTER-USDT-SWAP&bar=15m&limit=121 "HTTP/2 200 OK"
2026-03-25 18:47:56,379 | INFO | httpx | _client:_send_single_request:1025 | HTTP Request: GET https://www.okx.com/api/v5/market/candles?instId=CELO-USDT-SWAP&bar=5m&limit=89 "HTTP/2 200 OK"
2026-03-25 18:47:56,568 | INFO | httpx | _client:_send_single_request:1025 | HTTP Request: GET https://www.okx.com/api/v5/market/candles?instId=ASTER-USDT-SWAP&bar=5m&limit=97 "HTTP/2 200 OK"
2026-03-25 18:47:56,957 | INFO | httpx | _client:_send_single_request:1025 | HTTP Request: GET https://www.okx.com/api/v5/market/ticker?instId=CFX-USDT-SWAP "HTTP/2 200 OK"
2026-03-25 18:47:56,987 | INFO | httpx | _client:_send_single_request:1025 | HTTP Request: GET https://www.okx.com/api/v5/market/history-trades?instId=ASTER-USDT-SWAP&limit=100 "HTTP/2 200 OK"
2026-03-25 18:47:57,324 | INFO | httpx | _client:_send_single_request:1025 | HTTP Request: GET https://www.okx.com/api/v5/market/candles?instId=CFX-USDT-SWAP&bar=5m&limit=89 "HTTP/2 200 OK"
2026-03-25 18:47:57,411 | INFO | httpx | _client:_send_single_request:1025 | HTTP Request: GET https://www.okx.com/api/v5/market/books?instId=ASTER-USDT-SWAP&sz=5 "HTTP/2 200 OK"
2026-03-25 18:47:57,436 | INFO | root | main_v107:evaluate_entry:4796 | ALGO-USDT-SWAP: Turtle 20 short-сигнал отклонён (закрытие не удержалось ниже канала)
2026-03-25 18:47:57,805 | INFO | httpx | _client:_send_single_request:1025 | HTTP Request: GET https://www.okx.com/api/v5/market/ticker?instId=ARB-USDT-SWAP "HTTP/2 200 OK"
2026-03-25 18:47:57,866 | INFO | httpx | _client:_send_single_request:1025 | HTTP Request: GET https://www.okx.com/api/v5/market/ticker?instId=CHZ-USDT-SWAP "HTTP/2 200 OK"
2026-03-25 18:47:58,214 | INFO | httpx | _client:_send_single_request:1025 | HTTP Request: GET https://www.okx.com/api/v5/market/candles?instId=ATOM-USDT-SWAP&bar=15m&limit=121 "HTTP/2 200 OK"
2026-03-25 18:47:58,262 | INFO | httpx | _client:_send_single_request:1025 | HTTP Request: GET https://www.okx.com/api/v5/market/candles?instId=CHZ-USDT-SWAP&bar=5m&limit=89 "HTTP/2 200 OK"
2026-03-25 18:47:58,594 | INFO | httpx | _client:_send_single_request:1025 | HTTP Request: GET https://www.okx.com/api/v5/market/candles?instId=ATOM-USDT-SWAP&bar=5m&limit=97 "HTTP/2 200 OK"
2026-03-25 18:47:58,808 | INFO | httpx | _client:_send_single_request:1025 | HTTP Request: GET https://www.okx.com/api/v5/market/ticker?instId=COAI-USDT-SWAP "HTTP/2 200 OK"
2026-03-25 18:47:58,978 | INFO | httpx | _client:_send_single_request:1025 | HTTP Request: GET https://www.okx.com/api/v5/market/history-trades?instId=ATOM-USDT-SWAP&limit=100 "HTTP/2 200 OK"
