details,event_type,inst_id,reason_code,timestamp
,filter_diagnostics,,unknown,2026-03-20 18:18:25
"{""ts"": ""2026-03-20 18:18:25"", ""event"": ""filter_diagnostics"", ""scan_universe_total"": 112, ""blacklist_count"": 4, ""blocked_count"": 4, ""temp_blocked_count"": 0, ""illiquid_count"": 0, ""stopout_cooldown_count"": 2, ""hard_blocked_unique_count"": 6, ""execution_watchlist_count"": 0, ""open_positions_count"": 6, ""available_after_bans_count"": 106, ""trade_ready_count"": 35, ""scanner_total"": 112, ""scanner_scanned"": 112, ""scanner_ready"": 112, ""scanner_pending"": 0, ""scanner_failed"": 0, ""scanner_allowed"": 47, ""scanner_blocked"": 65, ""scanner_dead"": 23, ""scanner_saw"": 1, ""scanner_ripping"": 41, ""scanner_status_text"": ""READY"", ""scanner_safe"": 47, ""scanner_caution"": 0, ""scanner_risky"": 65, ""scanner_blacklist"": 64, ""scanner_exec_watch"": 41, ""scanner_admitted"": 47, ""signal_funnel"": {""cycle_id"": 333, ""instruments_scanned"": 0, ""prefilter_skipped"": 0, ""warmup_rejected"": 0, ""flat_filter_rejected"": 0, ""structure_rejected"": 0, ""trend_rejected"": 0, ""liquidity_rejected"": 0, ""breakout_rejected"": 0, ""other_rejected"": 0, ""candidates"": 0, ""ranked_candidates"": 0, ""orders_sent"": 0, ""entry_failed"": 0, ""manual_skipped"": 0, ""opened"": 0}}",filter_diagnostics,,,2026-03-20 18:18:25
,filter_diagnostics,,unknown,2026-03-20 18:33:27
"{""ts"": ""2026-03-20 18:33:27"", ""event"": ""filter_diagnostics"", ""scan_universe_total"": 112, ""blacklist_count"": 4, ""blocked_count"": 4, ""temp_blocked_count"": 0, ""illiquid_count"": 0, ""stopout_cooldown_count"": 1, ""hard_blocked_unique_count"": 5, ""execution_watchlist_count"": 0, ""open_positions_count"": 3, ""available_after_bans_count"": 107, ""trade_ready_count"": 39, ""scanner_total"": 112, ""scanner_scanned"": 112, ""scanner_ready"": 112, ""scanner_pending"": 0, ""scanner_failed"": 0, ""scanner_allowed"": 47, ""scanner_blocked"": 65, ""scanner_dead"": 23, ""scanner_saw"": 1, ""scanner_ripping"": 41, ""scanner_status_text"": ""READY"", ""scanner_safe"": 47, ""scanner_caution"": 0, ""scanner_risky"": 65, ""scanner_blacklist"": 64, ""scanner_exec_watch"": 41, ""scanner_admitted"": 47, ""signal_funnel"": {""cycle_id"": 377, ""instruments_scanned"": 0, ""prefilter_skipped"": 0, ""warmup_rejected"": 0, ""flat_filter_rejected"": 0, ""structure_rejected"": 0, ""trend_rejected"": 0, ""liquidity_rejected"": 0, ""breakout_rejected"": 0, ""other_rejected"": 0, ""candidates"": 0, ""ranked_candidates"": 0, ""orders_sent"": 0, ""entry_failed"": 0, ""manual_skipped"": 0, ""opened"": 0}}",filter_diagnostics,,,2026-03-20 18:33:27
,filter_diagnostics,,unknown,2026-03-20 18:48:31
"{""ts"": ""2026-03-20 18:48:31"", ""event"": ""filter_diagnostics"", ""scan_universe_total"": 112, ""blacklist_count"": 4, ""blocked_count"": 4, ""temp_blocked_count"": 0, ""illiquid_count"": 0, ""stopout_cooldown_count"": 0, ""hard_blocked_unique_count"": 4, ""execution_watchlist_count"": 0, ""open_positions_count"": 4, ""available_after_bans_count"": 108, ""trade_ready_count"": 40, ""scanner_total"": 112, ""scanner_scanned"": 112, ""scanner_ready"": 112, ""scanner_pending"": 0, ""scanner_failed"": 0, ""scanner_allowed"": 48, ""scanner_blocked"": 64, ""scanner_dead"": 23, ""scanner_saw"": 1, ""scanner_ripping"": 40, ""scanner_status_text"": ""READY"", ""scanner_safe"": 48, ""scanner_caution"": 0, ""scanner_risky"": 64, ""scanner_blacklist"": 63, ""scanner_exec_watch"": 40, ""scanner_admitted"": 48, ""signal_funnel"": {""cycle_id"": 423, ""instruments_scanned"": 40, ""prefilter_skipped"": 72, ""warmup_rejected"": 0, ""flat_filter_rejected"": 0, ""structure_rejected"": 0, ""trend_rejected"": 0, ""liquidity_rejected"": 0, ""breakout_rejected"": 40, ""other_rejected"": 0, ""candidates"": 0, ""ranked_candidates"": 0, ""orders_sent"": 0, ""entry_failed"": 0, ""manual_skipped"": 0, ""opened"": 0}}",filter_diagnostics,,,2026-03-20 18:48:31
,filter_diagnostics,,unknown,2026-03-20 19:03:44
"{""ts"": ""2026-03-20 19:03:44"", ""event"": ""filter_diagnostics"", ""scan_universe_total"": 112, ""blacklist_count"": 4, ""blocked_count"": 4, ""temp_blocked_count"": 0, ""illiquid_count"": 0, ""stopout_cooldown_count"": 1, ""hard_blocked_unique_count"": 5, ""execution_watchlist_count"": 0, ""open_positions_count"": 4, ""available_after_bans_count"": 107, ""trade_ready_count"": 44, ""scanner_total"": 112, ""scanner_scanned"": 112, ""scanner_ready"": 112, ""scanner_pending"": 0, ""scanner_failed"": 0, ""scanner_allowed"": 51, ""scanner_blocked"": 61, ""scanner_dead"": 23, ""scanner_saw"": 0, ""scanner_ripping"": 38, ""scanner_status_text"": ""READY"", ""scanner_safe"": 51, ""scanner_caution"": 0, ""scanner_risky"": 61, ""scanner_blacklist"": 61, ""scanner_exec_watch"": 38, ""scanner_admitted"": 51, ""signal_funnel"": {""cycle_id"": 449, ""instruments_scanned"": 0, ""prefilter_skipped"": 0, ""warmup_rejected"": 0, ""flat_filter_rejected"": 0, ""structure_rejected"": 0, ""trend_rejected"": 0, ""liquidity_rejected"": 0, ""breakout_rejected"": 0, ""other_rejected"": 0, ""candidates"": 0, ""ranked_candidates"": 0, ""orders_sent"": 0, ""entry_failed"": 0, ""manual_skipped"": 0, ""opened"": 0}}",filter_diagnostics,,,2026-03-20 19:03:44
,filter_diagnostics,,unknown,2026-03-20 19:18:49
"{""ts"": ""2026-03-20 19:18:49"", ""event"": ""filter_diagnostics"", ""scan_universe_total"": 112, ""blacklist_count"": 5, ""blocked_count"": 5, ""temp_blocked_count"": 0, ""illiquid_count"": 0, ""stopout_cooldown_count"": 3, ""hard_blocked_unique_count"": 8, ""execution_watchlist_count"": 0, ""open_positions_count"": 5, ""available_after_bans_count"": 104, ""trade_ready_count"": 39, ""scanner_total"": 112, ""scanner_scanned"": 112, ""scanner_ready"": 112, ""scanner_pending"": 0, ""scanner_failed"": 0, ""scanner_allowed"": 51, ""scanner_blocked"": 61, ""scanner_dead"": 23, ""scanner_saw"": 0, ""scanner_ripping"": 38, ""scanner_status_text"": ""READY"", ""scanner_safe"": 51, ""scanner_caution"": 0, ""scanner_risky"": 61, ""scanner_blacklist"": 61, ""scanner_exec_watch"": 38, ""scanner_admitted"": 51, ""signal_funnel"": {""cycle_id"": 481, ""instruments_scanned"": 0, ""prefilter_skipped"": 0, ""warmup_rejected"": 0, ""flat_filter_rejected"": 0, ""structure_rejected"": 0, ""trend_rejected"": 0, ""liquidity_rejected"": 0, ""breakout_rejected"": 0, ""other_rejected"": 0, ""candidates"": 0, ""ranked_candidates"": 0, ""orders_sent"": 0, ""entry_failed"": 0, ""manual_skipped"": 0, ""opened"": 0}}",filter_diagnostics,,,2026-03-20 19:18:49
,filter_diagnostics,,unknown,2026-03-20 19:33:54
"{""ts"": ""2026-03-20 19:33:54"", ""event"": ""filter_diagnostics"", ""scan_universe_total"": 112, ""blacklist_count"": 6, ""blocked_count"": 6, ""temp_blocked_count"": 0, ""illiquid_count"": 0, ""stopout_cooldown_count"": 4, ""hard_blocked_unique_count"": 10, ""execution_watchlist_count"": 0, ""open_positions_count"": 4, ""available_after_bans_count"": 102, ""trade_ready_count"": 38, ""scanner_total"": 112, ""scanner_scanned"": 112, ""scanner_ready"": 112, ""scanner_pending"": 0, ""scanner_failed"": 0, ""scanner_allowed"": 51, ""scanner_blocked"": 61, ""scanner_dead"": 23, ""scanner_saw"": 0, ""scanner_ripping"": 38, ""scanner_status_text"": ""READY"", ""scanner_safe"": 51, ""scanner_caution"": 0, ""scanner_risky"": 61, ""scanner_blacklist"": 61, ""scanner_exec_watch"": 38, ""scanner_admitted"": 51, ""signal_funnel"": {""cycle_id"": 519, ""instruments_scanned"": 0, ""prefilter_skipped"": 0, ""warmup_rejected"": 0, ""flat_filter_rejected"": 0, ""structure_rejected"": 0, ""trend_rejected"": 0, ""liquidity_rejected"": 0, ""breakout_rejected"": 0, ""other_rejected"": 0, ""candidates"": 0, ""ranked_candidates"": 0, ""orders_sent"": 0, ""entry_failed"": 0, ""manual_skipped"": 0, ""opened"": 0}}",filter_diagnostics,,,2026-03-20 19:33:54
,filter_diagnostics,,unknown,2026-03-20 19:49:02
"{""ts"": ""2026-03-20 19:49:02"", ""event"": ""filter_diagnostics"", ""scan_universe_total"": 112, ""blacklist_count"": 6, ""blocked_count"": 6, ""temp_blocked_count"": 0, ""illiquid_count"": 0, ""stopout_cooldown_count"": 4, ""hard_blocked_unique_count"": 10, ""execution_watchlist_count"": 0, ""open_positions_count"": 3, ""available_after_bans_count"": 102, ""trade_ready_count"": 40, ""scanner_total"": 112, ""scanner_scanned"": 112, ""scanner_ready"": 112, ""scanner_pending"": 0, ""scanner_failed"": 0, ""scanner_allowed"": 52, ""scanner_blocked"": 60, ""scanner_dead"": 23, ""scanner_saw"": 0, ""scanner_ripping"": 37, ""scanner_status_text"": ""READY"", ""scanner_safe"": 52, ""scanner_caution"": 0, ""scanner_risky"": 60, ""scanner_blacklist"": 60, ""scanner_exec_watch"": 37, ""scanner_admitted"": 52, ""signal_funnel"": {""cycle_id"": 562, ""instruments_scanned"": 0, ""prefilter_skipped"": 0, ""warmup_rejected"": 0, ""flat_filter_rejected"": 0, ""structure_rejected"": 0, ""trend_rejected"": 0, ""liquidity_rejected"": 0, ""breakout_rejected"": 0, ""other_rejected"": 0, ""candidates"": 0, ""ranked_candidates"": 0, ""orders_sent"": 0, ""entry_failed"": 0, ""manual_skipped"": 0, ""opened"": 0}}",filter_diagnostics,,,2026-03-20 19:49:02
,filter_diagnostics,,unknown,2026-03-20 20:04:05
"{""ts"": ""2026-03-20 20:04:05"", ""event"": ""filter_diagnostics"", ""scan_universe_total"": 112, ""blacklist_count"": 7, ""blocked_count"": 7, ""temp_blocked_count"": 0, ""illiquid_count"": 0, ""stopout_cooldown_count"": 2, ""hard_blocked_unique_count"": 9, ""execution_watchlist_count"": 0, ""open_positions_count"": 5, ""available_after_bans_count"": 103, ""trade_ready_count"": 33, ""scanner_total"": 112, ""scanner_scanned"": 112, ""scanner_ready"": 112, ""scanner_pending"": 0, ""scanner_failed"": 0, ""scanner_allowed"": 43, ""scanner_blocked"": 69, ""scanner_dead"": 22, ""scanner_saw"": 1, ""scanner_ripping"": 46, ""scanner_status_text"": ""READY"", ""scanner_safe"": 43, ""scanner_caution"": 0, ""scanner_risky"": 69, ""scanner_blacklist"": 68, ""scanner_exec_watch"": 46, ""scanner_admitted"": 43, ""signal_funnel"": {""cycle_id"": 588, ""instruments_scanned"": 0, ""prefilter_skipped"": 0, ""warmup_rejected"": 0, ""flat_filter_rejected"": 0, ""structure_rejected"": 0, ""trend_rejected"": 0, ""liquidity_rejected"": 0, ""breakout_rejected"": 0, ""other_rejected"": 0, ""candidates"": 0, ""ranked_candidates"": 0, ""orders_sent"": 0, ""entry_failed"": 0, ""manual_skipped"": 0, ""opened"": 0}}",filter_diagnostics,,,2026-03-20 20:04:05
,filter_diagnostics,,unknown,2026-03-20 20:19:14
