breakout_id,cooldown_blocked,cooldown_required_seconds,event,final_decision_allow_true_false,final_reason,inst_id,last_exit_reason,last_trade_pnl,price,recent_stopout_present,recent_trade_penalty,recovery_atr_actual,recovery_atr_required,recovery_blocked,seconds_since_last_close,side,timeframe,ts
,False,,reentry_check,True,ok,AAVE-USDT-SWAP,,,96.08,False,,,,False,,short,5m,2026-03-29 13:10:20
,False,,reentry_check,True,ok,ACT-USDT-SWAP,,,0.01205,False,,,,False,,long,5m,2026-03-29 13:10:21
,False,,reentry_check,True,ok,ACT-USDT-SWAP,,,0.01205,False,,,,False,,short,5m,2026-03-29 13:10:21
,False,,reentry_check,True,ok,ADA-USDT-SWAP,,,0.2436,False,,,,False,,long,5m,2026-03-29 13:10:22
,False,,reentry_check,True,ok,ADA-USDT-SWAP,,,0.2436,False,,,,False,,short,5m,2026-03-29 13:10:22
,,,reentry_check,True,scan,ADA-USDT-SWAP,,,0.2436,False,0.0,,,,,scan,5m,2026-03-29 13:10:23
,False,,reentry_check,True,ok,ASTER-USDT-SWAP,,,0.6584,False,,,,False,,long,5m,2026-03-29 13:10:31
,False,,reentry_check,True,ok,ASTER-USDT-SWAP,,,0.6584,False,,,,False,,short,5m,2026-03-29 13:10:31
,False,,reentry_check,True,ok,AUCTION-USDT-SWAP,,,4.406,False,,,,False,,long,5m,2026-03-29 13:10:34
,False,,reentry_check,True,ok,AUCTION-USDT-SWAP,,,4.406,False,,,,False,,short,5m,2026-03-29 13:10:34
,,,reentry_check,True,scan,AUCTION-USDT-SWAP,,,4.406,False,0.0,,,,,scan,5m,2026-03-29 13:10:35
,False,,reentry_check,True,ok,AVAX-USDT-SWAP,,,8.693,False,,,,False,,long,5m,2026-03-29 13:10:36
,False,,reentry_check,True,ok,AVAX-USDT-SWAP,,,8.693,False,,,,False,,short,5m,2026-03-29 13:10:36
,False,,reentry_check,True,ok,AXS-USDT-SWAP,,,1.1426,False,,,,False,,long,5m,2026-03-29 13:10:37
,False,,reentry_check,True,ok,AXS-USDT-SWAP,,,1.1426,False,,,,False,,short,5m,2026-03-29 13:10:37
,False,,reentry_check,True,ok,BCH-USDT-SWAP,,,481.4,False,,,,False,,long,5m,2026-03-29 13:10:40
,False,,reentry_check,True,ok,BCH-USDT-SWAP,,,481.4,False,,,,False,,short,5m,2026-03-29 13:10:40
,False,,reentry_check,True,ok,CHZ-USDT-SWAP,,,0.04027,False,,,,False,,long,5m,2026-03-29 13:10:43
,False,,reentry_check,True,ok,CHZ-USDT-SWAP,,,0.04027,False,,,,False,,short,5m,2026-03-29 13:10:43
