2026-03-29 06:25:34,306 | ERROR | root | market_scanner_runtime:refresh_symbol:305 | Scanner refresh temporary failure for BIO-USDT-SWAP: [WinError 10035] Операция на незаблокированном сокете не может быть завершена немедленно
2026-03-29 06:35:15,042 | ERROR | root | market_scanner_runtime:refresh_symbol:305 | Scanner refresh temporary failure for CRV-USDT-SWAP: [WinError 10035] Операция на незаблокированном сокете не может быть завершена немедленно
2026-03-29 07:02:04,751 | ERROR | root | market_scanner_runtime:refresh_symbol:305 | Scanner refresh temporary failure for LQTY-USDT-SWAP: [WinError 10035] Операция на незаблокированном сокете не может быть завершена немедленно
2026-03-29 07:08:51,060 | ERROR | root | market_scanner_runtime:refresh_symbol:305 | Scanner refresh temporary failure for SAND-USDT-SWAP: [WinError 10035] Операция на незаблокированном сокете не может быть завершена немедленно
2026-03-29 07:17:56,977 | ERROR | root | market_scanner_runtime:refresh_symbol:305 | Scanner refresh temporary failure for LINK-USDT-SWAP: [WinError 10035] Операция на незаблокированном сокете не может быть завершена немедленно
2026-03-29 07:20:57,601 | ERROR | root | market_scanner_runtime:refresh_symbol:305 | Scanner refresh temporary failure for ROBO-USDT-SWAP: [WinError 10035] Операция на незаблокированном сокете не может быть завершена немедленно
2026-03-29 07:28:55,864 | ERROR | root | market_scanner_runtime:refresh_symbol:305 | Scanner refresh temporary failure for JUP-USDT-SWAP: [WinError 10035] Операция на незаблокированном сокете не может быть завершена немедленно
2026-03-29 07:30:08,345 | ERROR | root | market_scanner_runtime:refresh_symbol:305 | Scanner refresh temporary failure for ZIL-USDT-SWAP: [WinError 10035] Операция на незаблокированном сокете не может быть завершена немедленно
2026-03-29 07:31:29,839 | ERROR | root | market_scanner_runtime:refresh_symbol:305 | Scanner refresh temporary failure for DOGE-USDT-SWAP: [WinError 10035] Операция на незаблокированном сокете не может быть завершена немедленно
2026-03-29 07:32:34,775 | ERROR | root | market_scanner_runtime:refresh_symbol:305 | Scanner refresh temporary failure for ROBO-USDT-SWAP: [WinError 10035] Операция на незаблокированном сокете не может быть завершена немедленно
2026-03-29 07:41:16,834 | ERROR | root | market_scanner_runtime:refresh_symbol:305 | Scanner refresh temporary failure for QTUM-USDT-SWAP: [WinError 10035] Операция на незаблокированном сокете не может быть завершена немедленно
2026-03-29 07:48:39,196 | ERROR | root | market_scanner_runtime:refresh_symbol:305 | Scanner refresh temporary failure for YFI-USDT-SWAP: [WinError 10035] Операция на незаблокированном сокете не может быть завершена немедленно
2026-03-29 07:50:00,243 | ERROR | root | market_scanner_runtime:refresh_symbol:305 | Scanner refresh temporary failure for BNB-USDT-SWAP: [WinError 10035] Операция на незаблокированном сокете не может быть завершена немедленно
2026-03-29 08:03:00,756 | ERROR | root | market_scanner_runtime:refresh_symbol:305 | Scanner refresh temporary failure for ASP-USDT-SWAP: [WinError 10035] Операция на незаблокированном сокете не может быть завершена немедленно
2026-03-29 08:14:05,034 | ERROR | root | market_scanner_runtime:refresh_symbol:305 | Scanner refresh temporary failure for AVAX-USDT-SWAP: [WinError 10035] Операция на незаблокированном сокете не может быть завершена немедленно
2026-03-29 08:17:40,522 | ERROR | root | market_scanner_runtime:refresh_symbol:305 | Scanner refresh temporary failure for ADA-USDT-SWAP: [WinError 10035] Операция на незаблокированном сокете не может быть завершена немедленно
2026-03-29 08:21:42,559 | ERROR | root | market_scanner_runtime:refresh_symbol:305 | Scanner refresh temporary failure for BCH-USDT-SWAP: [WinError 10035] Операция на незаблокированном сокете не может быть завершена немедленно
2026-03-29 08:33:46,657 | ERROR | root | market_scanner_runtime:refresh_symbol:305 | Scanner refresh temporary failure for LINEA-USDT-SWAP: [WinError 10035] Операция на незаблокированном сокете не может быть завершена немедленно
2026-03-29 08:36:50,392 | ERROR | root | market_scanner_runtime:refresh_symbol:305 | Scanner refresh temporary failure for GMT-USDT-SWAP: [WinError 10035] Операция на незаблокированном сокете не может быть завершена немедленно
2026-03-29 08:44:39,671 | ERROR | root | market_scanner_runtime:refresh_symbol:305 | Scanner refresh temporary failure for TON-USDT-SWAP: [WinError 10035] Операция на незаблокированном сокете не может быть завершена немедленно
2026-03-29 08:44:56,122 | ERROR | root | market_scanner_runtime:refresh_symbol:305 | Scanner refresh temporary failure for ZETA-USDT-SWAP: [WinError 10035] Операция на незаблокированном сокете не может быть завершена немедленно
2026-03-29 08:47:09,825 | ERROR | root | market_scanner_runtime:refresh_symbol:305 | Scanner refresh temporary failure for GMT-USDT-SWAP: [WinError 10035] Операция на незаблокированном сокете не может быть завершена немедленно
2026-03-29 08:54:15,779 | ERROR | root | market_scanner_runtime:refresh_symbol:305 | Scanner refresh temporary failure for CRV-USDT-SWAP: [WinError 10035] Операция на незаблокированном сокете не может быть завершена немедленно
2026-03-29 09:02:36,659 | ERROR | root | market_scanner_runtime:refresh_symbol:305 | Scanner refresh temporary failure for TRX-USDT-SWAP: [WinError 10035] Операция на незаблокированном сокете не может быть завершена немедленно
2026-03-29 09:14:55,836 | ERROR | root | market_scanner_runtime:refresh_symbol:305 | Scanner refresh temporary failure for FIL-USDT-SWAP: [WinError 10035] Операция на незаблокированном сокете не может быть завершена немедленно
2026-03-29 09:16:15,336 | ERROR | root | market_scanner_runtime:refresh_symbol:305 | Scanner refresh temporary failure for XSR-USDT-SWAP: [WinError 10035] Операция на незаблокированном сокете не может быть завершена немедленно
