block_reason,cooldown_blocked,inst_id,last_exit_reason,last_trade_pnl,price,recovery_blocked,side,ts
cooldown после ATR-стопа ещё активен 905s; цена отошла только на 1.08 ATR,True,BCH-USDT-SWAP,ATR стоп 2.0N,0.0,458.2,True,long,2026-03-20 04:43:22
cooldown после ATR-стопа ещё активен 862s; цена отошла только на 1.08 ATR,True,BCH-USDT-SWAP,ATR стоп 2.0N,0.0,458.2,True,long,2026-03-20 04:44:05
cooldown после ATR-стопа ещё активен 812s; цена отошла только на 1.08 ATR,True,BCH-USDT-SWAP,ATR стоп 2.0N,0.0,458.2,True,long,2026-03-20 04:44:56
cooldown после ATR-стопа ещё активен 754s; цена отошла только на 0.81 ATR,True,BCH-USDT-SWAP,ATR стоп 2.0N,0.0,457.5,True,long,2026-03-20 04:45:54
cooldown после ATR-стопа ещё активен 690s; цена отошла только на 0.81 ATR,True,BCH-USDT-SWAP,ATR стоп 2.0N,0.0,457.5,True,long,2026-03-20 04:46:57
cooldown после ATR-стопа ещё активен 625s; цена отошла только на 0.81 ATR,True,BCH-USDT-SWAP,ATR стоп 2.0N,0.0,457.5,True,long,2026-03-20 04:48:02
cooldown после ATR-стопа ещё активен 560s; цена отошла только на 0.81 ATR,True,BCH-USDT-SWAP,ATR стоп 2.0N,0.0,457.5,True,long,2026-03-20 04:49:07
cooldown после ATR-стопа ещё активен 506s; цена отошла только на 0.81 ATR,True,BCH-USDT-SWAP,ATR стоп 2.0N,0.0,457.5,True,long,2026-03-20 04:50:01
cooldown после ATR-стопа ещё активен 477s; цена отошла только на 0.54 ATR,True,BCH-USDT-SWAP,ATR стоп 2.0N,0.0,458.0,True,long,2026-03-20 04:50:30
cooldown после ATR-стопа ещё активен 403s; цена отошла только на 0.54 ATR,True,BCH-USDT-SWAP,ATR стоп 2.0N,0.0,458.0,True,long,2026-03-20 04:51:45
cooldown после ATR-стопа ещё активен 370s; цена отошла только на 0.54 ATR,True,BCH-USDT-SWAP,ATR стоп 2.0N,0.0,458.0,True,long,2026-03-20 04:52:18
cooldown после ATR-стопа ещё активен 332s; цена отошла только на 0.54 ATR,True,BCH-USDT-SWAP,ATR стоп 2.0N,0.0,458.0,True,long,2026-03-20 04:52:56
cooldown после ATR-стопа ещё активен 300s; цена отошла только на 0.54 ATR,True,BCH-USDT-SWAP,ATR стоп 2.0N,0.0,458.0,True,long,2026-03-20 04:53:27
cooldown после ATR-стопа ещё активен 262s; цена отошла только на 0.54 ATR,True,BCH-USDT-SWAP,ATR стоп 2.0N,0.0,458.0,True,long,2026-03-20 04:54:05
cooldown после ATR-стопа ещё активен 229s; цена отошла только на 0.54 ATR,True,BCH-USDT-SWAP,ATR стоп 2.0N,0.0,458.0,True,long,2026-03-20 04:54:38
cooldown после ATR-стопа ещё активен 1790s; цена отошла только на 0.38 ATR,True,BTC-USDT-SWAP,ATR стоп 2.0N,0.0,70514.9,True,short,2026-03-20 06:19:59
cooldown после ATR-стопа ещё активен 1739s; цена отошла только на 0.49 ATR,True,BTC-USDT-SWAP,ATR стоп 2.0N,0.0,70481.1,True,short,2026-03-20 06:20:50
cooldown после ATR-стопа ещё активен 1713s; цена отошла только на 0.49 ATR,True,BTC-USDT-SWAP,ATR стоп 2.0N,0.0,70481.1,True,short,2026-03-20 06:21:16
cooldown после ATR-стопа ещё активен 1661s; цена отошла только на 0.49 ATR,True,BTC-USDT-SWAP,ATR стоп 2.0N,0.0,70481.1,True,short,2026-03-20 06:22:08
cooldown после ATR-стопа ещё активен 1635s; цена отошла только на 0.49 ATR,True,BTC-USDT-SWAP,ATR стоп 2.0N,0.0,70481.1,True,short,2026-03-20 06:22:34
cooldown после ATR-стопа ещё активен 1584s; цена отошла только на 0.49 ATR,True,BTC-USDT-SWAP,ATR стоп 2.0N,0.0,70481.1,True,short,2026-03-20 06:23:25
cooldown после ATR-стопа ещё активен 1542s; цена отошла только на 0.49 ATR,True,BTC-USDT-SWAP,ATR стоп 2.0N,0.0,70481.1,True,short,2026-03-20 06:24:07
cooldown после ATR-стопа ещё активен 1489s; цена отошла только на 0.49 ATR,True,BTC-USDT-SWAP,ATR стоп 2.0N,0.0,70481.1,True,short,2026-03-20 06:24:59
cooldown после ATR-стопа ещё активен 1447s; цена отошла только на 0.46 ATR,True,BTC-USDT-SWAP,ATR стоп 2.0N,0.0,70488.7,True,short,2026-03-20 06:25:42
cooldown после ATR-стопа ещё активен 1385s; цена отошла только на 0.46 ATR,True,BTC-USDT-SWAP,ATR стоп 2.0N,0.0,70488.7,True,short,2026-03-20 06:26:44
cooldown после ATR-стопа ещё активен 1329s; цена отошла только на 0.46 ATR,True,BTC-USDT-SWAP,ATR стоп 2.0N,0.0,70488.7,True,short,2026-03-20 06:27:40
cooldown после ATR-стопа ещё активен 1290s; цена отошла только на 0.46 ATR,True,BTC-USDT-SWAP,ATR стоп 2.0N,0.0,70488.7,True,short,2026-03-20 06:28:19
cooldown после ATR-стопа ещё активен 1226s; цена отошла только на 0.46 ATR,True,BTC-USDT-SWAP,ATR стоп 2.0N,0.0,70488.7,True,short,2026-03-20 06:29:23
cooldown после ATR-стопа ещё активен 1175s; цена отошла только на 0.06 ATR,True,BTC-USDT-SWAP,ATR стоп 2.0N,0.0,70652.9,True,short,2026-03-20 06:30:13
cooldown после ATR-стопа ещё активен 1714s; цена отошла только на 0.09 ATR,True,YFI-USDT-SWAP,ATR стоп 2.0N,0.0,2748.2,True,long,2026-03-20 06:30:22
cooldown после ATR-стопа ещё активен 1135s; цена отошла только на 0.06 ATR,True,BTC-USDT-SWAP,ATR стоп 2.0N,0.0,70652.9,True,short,2026-03-20 06:30:54
cooldown после ATR-стопа ещё активен 1674s; цена отошла только на 0.09 ATR,True,YFI-USDT-SWAP,ATR стоп 2.0N,0.0,2748.2,True,long,2026-03-20 06:31:03
