2026-03-29 15:37:18,787 | INFO | root | okx_gateway:place_market_order:639 | Placing order SUI-USDT-SWAP sell qty=3234.0 attached_stop=True attached_stop_px=0.86337
2026-03-29 15:37:23,605 | INFO | root | okx_gateway:amend_exchange_stop:433 | Amending exchange stop SAND-USDT-SWAP algo=3432108580814544896 payload=[{'instId': 'SAND-USDT-SWAP', 'algoId': '3432108580814544896', 'newSlTriggerPx': '0.0731', 'newSlOrdPx': '-1', 'newSlTriggerPxType': 'mark'}]
2026-03-29 15:37:29,081 | INFO | root | okx_gateway:place_exchange_stop:410 | Placing exchange stop SAND-USDT-SWAP short payload={'instId': 'SAND-USDT-SWAP', 'tdMode': 'isolated', 'side': 'buy', 'posSide': 'net', 'ordType': 'conditional', 'reduceOnly': 'true', 'closeFraction': '1', 'algoClOrdId': 'SLUSDTSWAP787849081', 'slTriggerPx': '0.0731', 'slTriggerPxType': 'mark', 'slOrdPx': '-1'}
2026-03-29 15:37:31,537 | INFO | root | okx_gateway:place_market_order:639 | Placing order SAND-USDT-SWAP sell qty=3901.0 attached_stop=False attached_stop_px=
2026-03-29 15:40:22,063 | INFO | root | okx_gateway:amend_exchange_stop:433 | Amending exchange stop SAND-USDT-SWAP algo=3432130119102455808 payload=[{'instId': 'SAND-USDT-SWAP', 'algoId': '3432130119102455808', 'newSlTriggerPx': '0.073', 'newSlOrdPx': '-1', 'newSlTriggerPxType': 'mark'}]
2026-03-29 15:40:24,493 | INFO | root | okx_gateway:place_exchange_stop:410 | Placing exchange stop SAND-USDT-SWAP short payload={'instId': 'SAND-USDT-SWAP', 'tdMode': 'isolated', 'side': 'buy', 'posSide': 'net', 'ordType': 'conditional', 'reduceOnly': 'true', 'closeFraction': '1', 'algoClOrdId': 'SLUSDTSWAP788024493', 'slTriggerPx': '0.073', 'slTriggerPxType': 'mark', 'slOrdPx': '-1'}
2026-03-29 15:40:26,501 | INFO | root | okx_gateway:place_market_order:639 | Placing order SAND-USDT-SWAP sell qty=3901.0 attached_stop=False attached_stop_px=
2026-03-29 15:40:30,604 | INFO | root | okx_gateway:place_market_order:639 | Placing order INJ-USDT-SWAP sell qty=10036.0 attached_stop=False attached_stop_px=
2026-03-29 15:40:33,095 | INFO | root | okx_gateway:place_market_order:639 | Placing order OP-USDT-SWAP sell qty=27553.0 attached_stop=False attached_stop_px=
2026-03-29 15:40:59,479 | WARNING | root | market_data_cache:_run:142 | Market-data worker temporary fetch failure for KSM-USDT-SWAP: [WinError 10035] Операция на незаблокированном сокете не может быть завершена немедленно
2026-03-29 15:42:20,600 | INFO | root | okx_gateway:ensure_instrument_leverage:121 | Applied leverage 5 to ATOM-USDT-SWAP (isolated)
2026-03-29 15:42:20,844 | INFO | root | okx_gateway:place_market_order:639 | Placing order ATOM-USDT-SWAP sell qty=1625.0 attached_stop=True attached_stop_px=1.66
2026-03-29 15:42:22,538 | INFO | root | okx_gateway:ensure_instrument_leverage:121 | Applied leverage 5 to MAGIC-USDT-SWAP (isolated)
2026-03-29 15:42:22,786 | INFO | root | okx_gateway:place_market_order:639 | Placing order MAGIC-USDT-SWAP sell qty=47184.0 attached_stop=True attached_stop_px=0.05659
2026-03-29 15:42:24,154 | INFO | root | okx_gateway:place_market_order:639 | Placing order THETA-USDT-SWAP sell qty=1755.0 attached_stop=True attached_stop_px=0.1514
2026-03-29 15:42:42,198 | INFO | root | okx_gateway:place_exchange_stop:410 | Placing exchange stop INJ-USDT-SWAP short payload={'instId': 'INJ-USDT-SWAP', 'tdMode': 'isolated', 'side': 'buy', 'posSide': 'net', 'ordType': 'conditional', 'reduceOnly': 'true', 'closeFraction': '1', 'algoClOrdId': 'SLUSDTSWAP788162198', 'slTriggerPx': '2.83', 'slTriggerPxType': 'mark', 'slOrdPx': '-1'}
2026-03-29 15:42:52,997 | INFO | root | okx_gateway:place_exchange_stop:410 | Placing exchange stop OP-USDT-SWAP short payload={'instId': 'OP-USDT-SWAP', 'tdMode': 'isolated', 'side': 'buy', 'posSide': 'net', 'ordType': 'conditional', 'reduceOnly': 'true', 'closeFraction': '1', 'algoClOrdId': 'SLUSDTSWAP788172997', 'slTriggerPx': '0.1026', 'slTriggerPxType': 'mark', 'slOrdPx': '-1'}
2026-03-29 15:46:37,659 | INFO | root | okx_gateway:ensure_instrument_leverage:121 | Applied leverage 5 to SUSHI-USDT-SWAP (isolated)
2026-03-29 15:46:37,963 | INFO | root | okx_gateway:place_market_order:639 | Placing order SUSHI-USDT-SWAP sell qty=14089.0 attached_stop=True attached_stop_px=0.1896
