cooldown_blocked,event,final_decision_allow_true_false,final_reason,inst_id,price,recent_stopout_present,recent_trade_penalty,recovery_blocked,side,timeframe,ts
False,reentry_check,True,ok,CRV-USDT-SWAP,0.2196,False,,False,long,5m,2026-03-23 20:56:42
False,reentry_check,True,ok,CRV-USDT-SWAP,0.2196,False,,False,short,5m,2026-03-23 20:56:42
False,reentry_check,True,ok,ETC-USDT-SWAP,8.45,False,,False,long,5m,2026-03-23 20:56:49
False,reentry_check,True,ok,ETC-USDT-SWAP,8.45,False,,False,short,5m,2026-03-23 20:56:49
False,reentry_check,True,ok,FIL-USDT-SWAP,0.906,False,,False,long,5m,2026-03-23 20:56:53
False,reentry_check,True,ok,FIL-USDT-SWAP,0.906,False,,False,short,5m,2026-03-23 20:56:53
False,reentry_check,True,ok,GMT-USDT-SWAP,0.01059,False,,False,long,5m,2026-03-23 20:56:55
False,reentry_check,True,ok,GMT-USDT-SWAP,0.01059,False,,False,short,5m,2026-03-23 20:56:55
,reentry_check,True,scan,GMT-USDT-SWAP,0.01059,False,0.0,,scan,5m,2026-03-23 20:56:56
False,reentry_check,True,ok,IMX-USDT-SWAP,0.1574,False,,False,long,5m,2026-03-23 20:57:02
False,reentry_check,True,ok,IMX-USDT-SWAP,0.1574,False,,False,short,5m,2026-03-23 20:57:02
False,reentry_check,True,ok,JUP-USDT-SWAP,0.1549,False,,False,long,5m,2026-03-23 20:57:05
False,reentry_check,True,ok,JUP-USDT-SWAP,0.1549,False,,False,short,5m,2026-03-23 20:57:05
,reentry_check,True,scan,JUP-USDT-SWAP,0.1549,False,0.0,,scan,5m,2026-03-23 20:57:05
False,reentry_check,True,ok,LIT-USDT-SWAP,0.948,False,,False,long,5m,2026-03-23 20:57:12
False,reentry_check,True,ok,LIT-USDT-SWAP,0.948,False,,False,short,5m,2026-03-23 20:57:12
False,reentry_check,True,ok,LPT-USDT-SWAP,2.204,False,,False,long,5m,2026-03-23 20:57:13
False,reentry_check,True,ok,LPT-USDT-SWAP,2.204,False,,False,short,5m,2026-03-23 20:57:13
False,reentry_check,True,ok,MASK-USDT-SWAP,0.4579,False,,False,long,5m,2026-03-23 20:57:14
False,reentry_check,True,ok,MASK-USDT-SWAP,0.4579,False,,False,short,5m,2026-03-23 20:57:14
False,reentry_check,True,ok,MET-USDT-SWAP,0.1412,False,,False,long,5m,2026-03-23 20:57:14
False,reentry_check,True,ok,MET-USDT-SWAP,0.1412,False,,False,short,5m,2026-03-23 20:57:14
